Ligand,SMILE,PDBCode
2fu8_decoy_6,CCS[C@H]1COC[C@]1(C)NC(=O)OC,2fu8
2fu8_decoy_7,CCOC(=O)C[C@@H]1S[C@@H](C)CNC1=O,2fu8
2fu8_decoy_8,CC1(C)C[C@@H](CCN[SH](=O)=O)CCO1,2fu8
2fu8_decoy_9,CN(C)C[C@H](O)[C@]1(C)COCCO1,2fu8
2fv5_decoy_1,C=CC(=CC)OCc1ccccc1CN1CCC[C@@H](CNC(=O)C=Cc2ccc(C=O)o2)C1,2fv5
2fv5_decoy_10,CC[C@@H]([C@H](NC(=O)Nc1ccc2c(c1)[C@@]1(CCO2)NC(=O)NC1=O)[C@@H](C)C(=O)O)[C@@H](C)O,2fv5
2fv5_decoy_2,C=CCCN(C[C@@H]1CCCO1)c1ccccc1CC(=O)NCc1ccccc1OCC(C)=O,2fv5
2fv5_decoy_3,CO[C@H]1CCC[C@@H]1NC(=O)NCCOC(=O)c1c(C)[nH]c(C(=O)C[C@@H]2NCO[C@@H]2O)c1C,2fv5
2fv5_decoy_4,COC[C@@H](C)C[C@]1(C)C[C@@H](COCC(=O)NC(=O)NC(C(N)=O)=C2N=CC(C)=CO2)CO1,2fv5
2fv5_decoy_5,C=CC=C(C(N)=O)C(=O)NN1C(=O)O[C@@](C)(CC(=O)N[C@H]2C(=CC)C(=C)OC[C@H]2C)C1=O,2fv5
2fv5_decoy_6,CCC1=C(C(N)=O)N(CCC(=O)N2[C@H](C(N)=O)CCC[C@H]2C(=O)O[C@@H](C)CC)C(=O)CO1,2fv5
2fv5_decoy_7,C=C(N)C(O)=C1CC[C@@H]2[C@@H](CCCN2C(=O)NC(=O)CCCCO[C@H](OC)C(N)=O)[C@H]1O,2fv5
2fv5_decoy_8,C[C@H](CNC(=O)N(C)[C@H]1CCC[C@@H](O)C1)N1C[C@H](C(=O)NCc2ccc(O)o2)CC1=O,2fv5
2fv5_decoy_9,CC[C@@](C)(NC(=O)Nc1ccc2c(C(=O)OC)c[nH]c2c1)C(=O)OC[C@@H]1CN[C@@H](O)OC1,2fv5
2fvd_decoy_1,CC1(C)C[C@@H]2[C@@H]3C[C@@H](C[C@@H](CO)[C@@H]3CCO)[C@H]3CCC[C@]32[C@@]1(O)CCC1CCCC1,2fvd
2fvd_decoy_10,O=C(C=C1C=CC=C(C[NH+]2CCCC2)O1)Nc1cc(Cl)c2nccc(CCO)c2c1,2fvd
2fvd_decoy_2,CC(C)[C@H]1C[C@](C)(CCO)CC2=C[C@H]3C(=C2CCC[C@@H](CO)[C@H](O)C1(C)C)C[C@H]3C,2fvd
2fvd_decoy_3,CCC[C@@](O)([C@H]1C[C@H]2C[C@@H](C)C[C@@H]2C1)[C@@]1(CO)CC[C@H]2CC[C@@H]1[C@@]2(CCO)C(C)C,2fvd
2fvd_decoy_4,CC[C@@H]1CCC[C@]2(CCC[C@@H]([C@@H](O)c3ccc([C@@H]4CC=CC[C@H]4CO)cc3)C2)[C@H]1O,2fvd
2fvd_decoy_5,CC[C@]1([C@@H]2CCC[C@H](CCCO[C@H]3C[C@H](C)[C@H](O)C[C@]3(C)O)C2)CCC2=CCC=C21,2fvd
2fvd_decoy_6,CCC[C@@H](CO)[C@H](O)[C@@]1([C@]2(O)CCC[C@]2(C)C2=CCC=C2)CCC[C@H](C)C[C@H](C)C1,2fvd
2fvd_decoy_7,CCC[C@@H]1CC2=CCC=C2C[C@@]1(O)[C@H]1CC(=O)[C@@H]2C(C)(C)[C@]2([C@H]2CCCC[C@H]2O)C1,2fvd
2fvd_decoy_8,C=CCO[C@@]1(C)CC2=C(CO)C=C[C@@H](C)CC[C@H]3CCCC[C@@]3(O)[C@]1(CCC)CC2,2fvd
2fvd_decoy_9,CC[C@H]1C[C@]2(C[C@](O)(C(C)C)[C@H](C)O)CCCC[C@]2(C)[C@@H](CC2=CCC=C2O)[C@@H]1C,2fvd
2fw6_decoy_1,OCCOCO[C@H](CO)C(O)O,2fw6
2fw6_decoy_10,[NH3+][C@H]1CCN(C2=NNC=CC=C2O[C@H]2CCOC2)C1,2fw6
2fw6_decoy_2,O=C(CO[C@H](O)CO)OCCO,2fw6
2fw6_decoy_3,OCOCCOCO[C@H](O)CO,2fw6
2fw6_decoy_4,OCOC[C@@H](O)OC[C@H](O)CO,2fw6
2fw6_decoy_5,OCCO[C@H](CO)OCOCO,2fw6
2fw6_decoy_6,OCOCOC[C@H](O)[C@@H](O)CO,2fw6
2fw6_decoy_7,OC[C@H](O)COCO[C@H](O)CO,2fw6
2fw6_decoy_8,O=C(O)OCCOC[C@@H](O)CO,2fw6
2fw6_decoy_9,OCCOCOCCOC(O)O,2fw6
2fwp_decoy_1,OCCOCO[C@H](CO)C(O)O,2fwp
2fwp_decoy_10,[NH3+][C@H]1CCN(C2=NNC=CC=C2O[C@H]2CCOC2)C1,2fwp
2fwp_decoy_2,O=C(CO[C@H](O)CO)OCCO,2fwp
2fwp_decoy_3,OCOCCOCO[C@H](O)CO,2fwp
2fwp_decoy_4,OCOC[C@@H](O)OC[C@H](O)CO,2fwp
2fwp_decoy_5,OCCO[C@H](CO)OCOCO,2fwp
2fwp_decoy_6,OCOCOC[C@H](O)[C@@H](O)CO,2fwp
2fwp_decoy_7,OC[C@H](O)COCO[C@H](O)CO,2fwp
2fwp_decoy_8,O=C(O)OCCOC[C@@H](O)CO,2fwp
2fwp_decoy_9,OCCOCOCCOC(O)O,2fwp
2fx6_decoy_1,C[C@@H]1OC[C@@H](O)[C@@H]1[NH2+][C@@H]1Cc2cc3c(cc2[C@H]([NH2+]CCC(C)(C)N(CCOC2=CCC=C2)c2ccc(C#N)cc2)C1)OCCN3,2fx6
2fx6_decoy_10,Cc1ccc(C2=C3C(=CC(C(=O)NCC[N@@H+]4C[C@H]([C@H]5C[C@H](C)CCCC[NH2+]5)[C@@H]([NH2+]CCCO)[C@H](C)[C@@H]4C)=C3O)C(=O)N2C)cc1,2fx6
2fx6_decoy_2,COCCc1noc(C)c1C(=O)NC[C@@H](O)C[NH2+][C@H]1CC(=CC=C(C)C)c2ccccc2[C@@H]1NC[C@@H]1[C@H]2CCCC[N@@H+]1CCC2,2fx6
2fx6_decoy_3,COc1ccc(C)cc1C=C1C2=C(C=CN1c1ccccc1)[C@@H]1OCC[C@]1(C[NH2+][C@@H](C)C=N)CN2C[C@H]([NH3+])[C@@H]1CCOC[C@H]1O,2fx6
2fx6_decoy_4,Cc1ccc(OCCN(C(=O)C[NH2+][C@@H]2CCC[C@@H](C(N)=O)[N@@H+](C)CC2)c2ccc3c(c2)[C@H](O)CCC3)c(C=CC2=CCC=C2)n1,2fx6
2fx6_decoy_5,CCC[N@@H+]1C[C@H](C[NH2+]C)[C@H](NC(=O)N[C@H](Cc2cc3c(cc2C(=O)N[C@@H]2CCC[C@H](CC)[C@@H]2C)OCCO3)c2ccccc2)C1,2fx6
2fx6_decoy_6,CCC[NH2+][C@H](C[N@@H+]1C[C@H]2CN(C(=O)[C@@H]3CCC[C@@H](C(=O)Nc4cc(C)ccc4C)O3)CC[C@H]2C1=O)c1cccc(C[NH2+]CC)c1,2fx6
2fx6_decoy_7,Cc1ccccc1NC(=O)C[N@@H+]1CCCC[C@@H]1CCc1ccc(C(=O)[C@@H]2[C@H](CCCO)NC(=O)[C@@H]3CCCCC[C@@H]2[NH2+]3)cc1,2fx6
2fx6_decoy_8,Cc1cc([C@@H]2CCC[N@H+]2[C@@H](C)CC(=O)N2C[C@H](CCC[C@@H]([NH3+])CO)CC[C@@H]2C(=O)N2CCCc3ccccc32)ccc1C=O,2fx6
2fx6_decoy_9,C[C@@H]1CC(=O)[C@H](NC(=O)[C@H](Oc2cccc(Oc3ccc(C(=O)NC[C@H]4CC[N@H+](C)C4)cc3)c2)c2ccc(C[NH3+])cc2)[C@H](C)C1,2fx6
2fxv_decoy_1,O=C(CCNC(=O)[C@@H]1OC(=O)COC1=O)OOOO,2fxv
2fxv_decoy_10,CN1C(=O)OO[C@@](NC(=O)CCC(=O)O)([C@@](C)(O)F)C1=O,2fxv
2fxv_decoy_2,O=C(NOO)[C@H]1O[C@@H](C(=O)OCOO)C12OCCO2,2fxv
2fxv_decoy_3,O=C1NOC(=O)[C@H](COOOO)OCCOCCO1,2fxv
2fxv_decoy_4,O=C(O)OCC(=O)OC(=O)O[C@@H]1OC(=O)NCC1=O,2fxv
2fxv_decoy_5,O=C(NCCOC(=O)OCO)O[C@H]1OC(=O)OC1=O,2fxv
2fxv_decoy_6,O=C(O)O[C@@H]1C(=O)OCOCCNC(=O)OOC1=O,2fxv
2fxv_decoy_7,O=C1O[C@@H](COOOO)CO[C@H]1N1C(=O)COC1=O,2fxv
2fxv_decoy_8,O=C1NCCOC(=O)C(C2=COOO2)=COC(=O)[C@@H](F)N1,2fxv
2fxv_decoy_9,O=C(N[C@@H]1CCCOC(=O)[C@H](F)OCCNC1=O)OOO,2fxv
2fzc_decoy_1,O=CN(C(=O)O)C(=O)COCCOP(O)OP(O)O,2fzc
2fzc_decoy_10,C=COOP(C=CC=C(OCCOP(C)OCC)OOC=O)CN(C)C,2fzc
2fzc_decoy_2,O=P[C@@H](OCC(=O)OCOP(O)O)OC(=O)NCO,2fzc
2fzc_decoy_3,CN(C)c1cc(OP=C(O)P(O)OP(O)CC=C(O)C(=S)CO)ccc1O,2fzc
2fzc_decoy_4,CC=POSOc1ccc([C@@H](NC[C@H](O)P(O)PO)C(=O)OC)c(OC)c1,2fzc
2fzc_decoy_5,CCc1cc(OCCOP(NCCO)[C@@H](O)C(=O)C(C)=O)cc(=O)o1,2fzc
2fzc_decoy_6,CCOP(CP(C)S)C1=C(COCOC=O)OOC=C1C(=O)N(CC)CO,2fzc
2fzc_decoy_7,O=PC[C@]1(Oc2ccc(O)c(CCCO)c2)ON(P=O)P(COCCO)O1,2fzc
2fzc_decoy_8,CCOP(Cc1ccc(P)oc1=O)OC(=O)C(N=C(O)CS)=C(C)OCO,2fzc
2fzc_decoy_9,CCC(CNOc1cc(CO)ccc1OS)=C1OCOC(P(O)P)=C1OO,2fzc
2fzg_decoy_1,CC1(C)NP2PCN(N)[C@@H]2O[C@@]1(N)O,2fzg
2fzg_decoy_10,CC(C)(C)OC(=O)C[C@H]1CCCC(=O)[C@@H](CCP(O)OC=O)N1,2fzg
2fzg_decoy_2,C=C(C)C(=O)O[C@H]1OC[C@](C)(CN)C[C@@H]1CC(=O)OCCP=O,2fzg
2fzg_decoy_3,CCOP(O)[C@@H](CC=CO)C1=CC(=COC)N(CCOC)C1=O,2fzg
2fzg_decoy_4,COCCOC(=O)C=C1OCCC[C@H]1NCCCP(O)OC,2fzg
2fzg_decoy_5,CCC[C@]1(C)CC[C@](C)(OC(=O)NCCCCP(O)O)C(=O)O1,2fzg
2fzg_decoy_6,CCOP(CCCN1CCC[C@](O)([C@@H](C)CC)C1=O)OC(=O)O,2fzg
2fzg_decoy_7,CCOP(OCC)C(O)(O)CN1CCCCCC[C@@H]1CC(=O)O,2fzg
2fzg_decoy_8,CCOP(CCC(=O)C[C@H]1C[C@H](NC(=O)OC)CCO1)OCC,2fzg
2fzg_decoy_9,CCOP(OCC)Oc1ccc(C2=C[C@H](NCC(O)O)CC2)o1,2fzg
2fzh_decoy_1,CCC=C1C=C(C(=O)NC)c2[nH]cc(C(=O)C[NH2+]C3CCCC3)c2C1,2fzh
2fzh_decoy_10,Cc1nc(NNC(=O)c2cnc3n(c2=O)C=COC3)c(N)cc1C[NH3+],2fzh
2fzh_decoy_2,Cc1cc2c([C@H](O)CNC(=O)c3ccc(C[NH3+])cc3)ccc(C)c2[nH]1,2fzh
2fzh_decoy_3,O=C(Nc1ccc(C[NH2+]C2CC2)cc1O)N[C@@H]1CCc2ccccc21,2fzh
2fzh_decoy_4,C[NH2+]Cc1ccc2c(c1)[C@@H](O)C(C(=O)Nc1cccc(C)c1)=C(C)N2,2fzh
2fzh_decoy_5,Cc1ccc(NC(=O)NC[C@H](O)c2ccc3c(c2)CC[C@@H]([NH3+])C3)cc1,2fzh
2fzh_decoy_6,[NH3+]Cc1ccc(C2=CC(=Cc3cccc(NC=O)c3)NC(=O)C2)cc1,2fzh
2fzh_decoy_7,C=c1[nH]nc(C(=O)Nc2nnc3c(c2N)CC(C)(C)OC3)c1=CC[NH3+],2fzh
2fzh_decoy_8,Cc1cc2[nH]c(=O)c(=O)n(NC(=O)CNc3cc(N)[nH+][nH]3)c2cc1C,2fzh
2fzh_decoy_9,C[NH2+]C1=C2CCCC=C2C(=O)Nc2c(n[nH]c2C)C(=O)NNC(=O)N1,2fzh
2fzk_decoy_1,CN(NCC(N)=C=PC(=O)c1ccncc1)C(=O)OOO,2fzk
2fzk_decoy_10,O=C1CCc2sc(C(=O)NCCP3OCOCO3)cc2N1,2fzk
2fzk_decoy_2,C=CCC[C@@H](NC(N)=NC=PP=C)[C@H]1OCOP(OC)O1,2fzk
2fzk_decoy_3,C=C1OCCC(NP(O)N(C)C=NC(=P)OC)=NC1=CO,2fzk
2fzk_decoy_4,COP[C@@](P=O)(PO)N(CC1=CCCN2CN=C12)[C@@H](C)O,2fzk
2fzk_decoy_5,CC=C(C)CN1C[C@@](C)(N)OCN1CP(O)C(P=O)=PO,2fzk
2fzk_decoy_6,C=PC=CC(C)=C(NP(ON)OCC)P(O)OC(C)=CN,2fzk
2fzk_decoy_7,CCC1=N[C@H]([C@@](NCCN)(OP=O)P(O)O)[C@@H](C)P(C)C1,2fzk
2fzk_decoy_8,C=C(N=P)P(OCC)OCP=NN1N=C[C@@](C)(C(C)=O)O1,2fzk
2fzk_decoy_9,C=C1C(=O)P2C(=NC(=O)OC)CCN(PPC)N2O[C@@H]1C,2fzk
2g86_decoy_1,N=C(SO)C(=O)N=CC=C(N=O)OOC=O,2g86
2g86_decoy_10,N=C1N=C2N[C@H](COC(=O)OP(O)P(O)O)CO[C@@]2(OC(=O)CNO)CN1,2g86
2g86_decoy_2,N=C(OOO)C(=S)Oc1cnc(=O)oc1N,2g86
2g86_decoy_3,C=CCN(CO[SH](=O)(O)OONN)C1=CO1,2g86
2g86_decoy_4,C=COC(=O)ONC(=O)OCN=COSN,2g86
2g86_decoy_5,COC(=O)[C@@H]1NOC(=O)[SH]1(=O)N=C(N)C=O,2g86
2g86_decoy_6,CS12(=O)NCC(ON)=CC1=NC(=O)OO2,2g86
2g86_decoy_7,CNOC(=O)N[C@@]1(OCSO)NCCO1,2g86
2g86_decoy_8,C=[S@@](OO)OC(=O)C(=O)OC(N)=NC=NC,2g86
2g86_decoy_9,CN[C@]1(O[SH]2(=O)OC2=CO)CON(C)N1,2g86
2gbp_decoy_1,OC(O)(O)C[C@@]1(O)CCOC1,2gbp
2gbp_decoy_10,[NH3+]C[C@@H]1C(=O)C2=C(NNC(=O)N2)N[C@H]1C[C@@H]1CCCS1,2gbp
2gbp_decoy_2,OC[C@@H](O)C[C@]1(O)COCO1,2gbp
2gbp_decoy_3,OC(O)C[C@]1(O)COCCO1,2gbp
2gbp_decoy_4,CC(C)(O)[C@@H](O)O[C@@H](O)C(=O)O,2gbp
2gbp_decoy_5,COC[C@H]1OC[C@@H](C(O)O)O1,2gbp
2gbp_decoy_6,C[C@@](CO)(OCO)[C@H](O)CO,2gbp
2gbp_decoy_7,CC(CO)(CO)[C@@H](O)C(O)O,2gbp
2gbp_decoy_8,COC[C@@H](O)O[C@H](CO)C(O)O,2gbp
2gbp_decoy_9,COC[C@](O)(CO)[C@@H](O)OC,2gbp
2gc0_decoy_1,OC[C@H](O)COOOP(O)O,2gc0
2gc0_decoy_10,C=C1PC(=O)C=C1ONC(=O)COC(=O)O,2gc0
2gc0_decoy_2,O=C(O)COOCP(O)OO,2gc0
2gc0_decoy_3,O=C(O)OC(=O)OOCO,2gc0
2gc0_decoy_4,OOCCOOCCOOO,2gc0
2gc0_decoy_5,O=C(O)[C@H](COCOO)OO,2gc0
2gc0_decoy_6,O=C(O)OOCOCCOO,2gc0
2gc0_decoy_7,OOCOC[C@H]1OCOOO1,2gc0
2gc0_decoy_8,O=C1OOC[C@]1(O)COOO,2gc0
2gc0_decoy_9,OOOCCO[C@H]1COOO1,2gc0
2ggx_decoy_1,CC=C1CC=Cn2c1[nH+]c1cc(CN[C@@H](C)CNc3nc4ccccc4nc3N)ccc12,2ggx
2ggx_decoy_10,CCN(CCCc1ccc(C(=O)NCC(=O)N2CCC[C@H](CO)[C@@H]2CO)c(O)c1C)C(C)C,2ggx
2ggx_decoy_2,Cc1cccc2nc(Cn3cnnc3-c3cccc(NC(N)=CC4=CC[NH+]=C4)c3)ccc12,2ggx
2ggx_decoy_3,N=C(C[NH3+])c1nc(-c2ccccc2C=Cn2cccc2-c2ncc3c(n2)CCCC3)c[nH]1,2ggx
2ggx_decoy_4,CCCNC(N)=C(CC(=O)N1CCC[C@@H](C(=O)OCC(C)C)C1)C1=C(O)CC(C)(C)CC1=O,2ggx
2ggx_decoy_5,COc1cc([C@H](O)[C@@H](C)NC(=O)NCc2c(C)cc(C)cc2C)cc(N(C)CCO)c1OC,2ggx
2ggx_decoy_6,CCc1[nH]c(=O)c(CC(=O)Nc2cc([C@@H](C)CC(=O)NC[C@@H](O)CC)ccc2OC)cc1C,2ggx
2ggx_decoy_7,CCC(=CC(=O)[C@@H](C(C)C)[C@@H](C)O)Oc1cc(C(=O)NC2CC2)c(C)cc1CNC(=O)NC,2ggx
2ggx_decoy_8,CCNC(=O)[C@@H](C)C[C@H]1CC=C(C=CC(=O)N(C[C@@H](O)CO)c2ccccc2C(=O)NC)C1,2ggx
2ggx_decoy_9,C[C@H](CCC(=O)N1CCO[C@@H](CO)C1)CC[C@@](C)(N)C(=O)Nc1cccc(OC(C)(C)C)c1,2ggx
2gh9_decoy_1,NC(=O)C(=O)N[C@@H](CNC(=O)C=CC1=NC2=CO[S@](=O)[C@@H]2O1)C(=O)Nc1ccc([N+](=O)[O-])nc1,2gh9
2gh9_decoy_10,O=C(Nc1ccc(O[C@H]2C[NH2+]C[C@@H](C(=O)OCC(O)O)O2)nc1)C1=NNc2c(n([O-])[nH]c2=O)S1,2gh9
2gh9_decoy_2,COc1cc([N@@+](C)([O-])CC(=O)OCC(=O)NNC(=O)C(=O)Nc2n[nH]c(=S)[nH]2)cc2c1OCO2,2gh9
2gh9_decoy_3,C[N@H+]1CC(NC(=O)OCC(N)=O)=CC=C1C1=C(C(=O)NN([O-])C(=O)NCC2=CSNO2)OCO1,2gh9
2gh9_decoy_4,CNC(=O)Nc1nc(NC=O)oc(=O)c1NC1=C(C(=O)OCC[N@@+]2([O-])CCSC2)C(=O)NC1=O,2gh9
2gh9_decoy_5,CN(C)C(=O)[C@@]1(NC(=O)NC(=O)C(=O)Nc2nnc(C(=O)O)s2)CC[N@@+]([O-])(CC2=CCOO2)C1,2gh9
2gh9_decoy_6,COc1ccc(C(N)=O)c(OC2=C[C@]3(N=NOC3=O)OC(O)=C2)c1C(=O)NNc1scn[n+]1[O-],2gh9
2gh9_decoy_7,COC(=O)c1cc[n+]([O-])c(NC(=O)NCC(=O)Nc2nnc(NC(=O)C3=C(O)O[C@H](C)O3)s2)c1,2gh9
2gh9_decoy_8,O=C([O-])NC=CS(=O)(=O)N1CCO[C@H](C(=O)NNC(=O)Nc2ccc(Oc3c[nH+]oc3)nc2)C1,2gh9
2gh9_decoy_9,COC1=C(O)OCC=C1NC(=O)OCC(=O)Nc1nnc(C(=O)NC(=O)NC2=CC=[N+]([O-])C2)s1,2gh9
2gj5_decoy_1,CCCC[C@@H](C)CC(C)(C)[C@@](O)(C1CCCCC1)[C@@H]1C[C@@H](C)C[C@H]2CC[C@@H]1C2,2gj5
2gj5_decoy_10,c1coc(-c2cc3c(c4c2CC[N@H+](Cc2ccoc2)C4)OCCO3)c1,2gj5
2gj5_decoy_2,CCC[C@H](CC1=CCC=C1)[C@@H]1CC[C@H](C=C(C)C)C[C@@H]1[C@]1(C)CCC[C@@H](O)C1,2gj5
2gj5_decoy_3,CC[C@H](CC(C)C)[C@](O)([C@H]1C[C@@H]2CC[C@@](C)(C2)C1)[C@@]1(CC)CC[C@H](C)[C@@H](C)C1,2gj5
2gj5_decoy_4,CC[C@H]1CCC[C@@H]2[C@@](O)([C@@H](CC=C(C)C)[C@@H]3CCC[C@@H](C)[C@H]3CC(C)C)[C@]12C,2gj5
2gj5_decoy_5,C=CC[C@](CC1=CCC=C1)([C@@H]1CCC[C@@H]1C)C(C)(C)[C@]1(C)[C@@H]([C@@H](C)O)[C@H]1CC,2gj5
2gj5_decoy_6,CC=C1CC=C[C@@]1(O)[C@@]1(C)CCC[C@@]1(CC1=CCC=C1C)[C@@H](C)[C@@H](C)CCC,2gj5
2gj5_decoy_7,CCC[C@H]1CC=C(C)C[C@]1(C1=CCC=C1)[C@@](C)(O)[C@]1(C)CC[C@H](C)[C@H]1C(C)C,2gj5
2gj5_decoy_8,CC[C@@H]1CC(C)(C)C[C@](CC2=CCC=C2)([C@](C)(CC)[C@]2(O)CCC[C@H]2CC)C1,2gj5
2gj5_decoy_9,CCCC[C@H](C[C@@H]1CC(C)(C)CC2=CCC=C21)[C@@H]1C[C@H](C=C(C)C)CC[C@@H]1O,2gj5
2gkl_decoy_1,COC(=O)c1ccc(O)c(=O)[nH]1,2gkl
2gkl_decoy_10,CCOc1ccc2nc3c(cc2c1)C(=O)OCC(N1CCC2(CCCC2)C1)=N3,2gkl
2gkl_decoy_2,NC(=O)COC(=O)C1=CCCO1,2gkl
2gkl_decoy_3,COC(=O)C(OC(C)=O)=C(C)N,2gkl
2gkl_decoy_4,Cc1[nH]c(=O)c(C(=O)O)cc1O,2gkl
2gkl_decoy_5,NCC1=C(C(=O)O)COCC1,2gkl
2gkl_decoy_6,O=C(O)c1ccc(CO)[nH]c1=O,2gkl
2gkl_decoy_7,CCC1=C(C(=O)O)NC(=O)CO1,2gkl
2gkl_decoy_8,COC(=O)COC(=O)C(C)=CN,2gkl
2gkl_decoy_9,C=CC(=C)OC(=O)COC(N)=O,2gkl
2gl0_decoy_1,NC(=O)[C@@H]1C[C@H](NC(=O)NC2=CCON=C2)C(=O)N1,2gl0
2gl0_decoy_10,C=C(C)CN(C)C1=NCCO1,2gl0
2gl0_decoy_2,NC(=O)C(=O)NC(=O)NC1=CNC2=NC=COC2=C1,2gl0
2gl0_decoy_3,CN1CNC([C@H]2CO2)=NC(C(=O)OCC(N)=O)=C1N,2gl0
2gl0_decoy_4,CC=C1C(N)=NC2=C(N1N=O)[C@](C)(O)[C@H](O)C(=O)N2,2gl0
2gl0_decoy_5,N[C@H]1C=C(CNC(=O)Cn2[nH]c(=O)[nH]c2=O)C=CO1,2gl0
2gl0_decoy_6,O=C(C[C@@H]1NN=C2CC(O)=CN21)NC(=O)NCCO,2gl0
2gl0_decoy_7,C[C@@H]1N[C@@H](CNC(=O)C[C@@H]2NC(=O)NC2=O)NC1=O,2gl0
2gl0_decoy_8,N[C@@H](C(=O)NC1=NC=CNC(=O)N1)[C@H]1CCOC1,2gl0
2gl0_decoy_9,NCc1nc(N[C@H]2C[C@H](CO)CO[C@@H]2O)[nH]c(=O)n1,2gl0
2glp_decoy_1,CC(=O)OCC1=C[C@@]([C@@H](O)C2=C(F)COC=C2F)(C(F)(F)F)[C@H](O)O1,2glp
2glp_decoy_10,Cc1cc2nc([C@H](Cn3ccc(C[NH3+])c3)Nc3cncnc3)[nH]c2cc1Cl,2glp
2glp_decoy_2,O=C1O[C@H](C(F)(F)F)CO[C@H](CO)CC=C(F)C(=CCF)[C@H](O)[C@H]1O,2glp
2glp_decoy_3,C=C(O)C1=C(F)[C@H](O)OC=CC(=CC(F)(F)F)COC[C@@H](O)CO1,2glp
2glp_decoy_4,C[C@H]1CCNC(=N)[C@H]1c1[nH]cc(NCc2ccn(-c3cccc(Cl)c3)n2)[nH+]1,2glp
2glp_decoy_5,CC[C@H](NCC1=NCC=C1Cl)c1nnc(C)n1-c1ccc2cc([NH3+])[nH]c2c1,2glp
2glp_decoy_6,CC[C@@H]1c2c(CN3CC[C@@H](Nc4cc(C)n[nH]4)C3)cnn2C(C)=C(Cl)[C@@H]1[NH3+],2glp
2glp_decoy_7,Nc1ccc2cnc(NCC3=CC=C(Cl)N([C@@H]4CCC[C@H]4N)C3)cc2[nH+]1,2glp
2glp_decoy_8,CCC1=N[C@@H](Cl)CCN1C[C@H](C[NH3+])c1cc(-c2cc3c([nH]2)CNC3)ncn1,2glp
2glp_decoy_9,[NH3+]CC[C@H]1CCCCCCN1CC1=C(Cl)C=C2C(=Nc3nnccc32)NN1,2glp
2gmv_decoy_1,O=C(C=C1OCNC1=O)NC[C@@H]1N[C@@H](NCP(O)O)OC1=O,2gmv
2gmv_decoy_10,NOP(ON)OC(=O)N[C@H]1CCN(C(=O)[C@@H]2CCC(=O)O2)C1,2gmv
2gmv_decoy_2,NC(=O)[C@@]12COCCN1N=C([C@H]1CO[C@H](P(O)O)O1)NC2=O,2gmv
2gmv_decoy_3,O=C1NC([C@@H]2NC(=O)[C@H](OP(O)O)CO2)=NN2C(=O)OCC[C@@H]12,2gmv
2gmv_decoy_4,O=C(NP(O)O)[C@@H]1CO[C@H](c2nc(C3COC3)no2)C(=O)N1,2gmv
2gmv_decoy_5,COC(=O)[C@H]1O[C@H](C)OC[C@@H]1n1nc(CO)nc1NP(O)O,2gmv
2gmv_decoy_6,COC(=O)n1c(=C[C@H](O)P(O)O)c2n(c1=O)[C@@H]1C(=O)ON=C1N=2,2gmv
2gmv_decoy_7,N=C(NP=O)OC[C@]12CCO[C@@]1(COC(N)=O)CNC(=O)O2,2gmv
2gmv_decoy_8,O=C1N[C@@H](C(=O)N2C=CN3[C@H](COCP(O)O)OC(=O)N23)CO1,2gmv
2gmv_decoy_9,O=PNC(=O)COC(=O)C=C1NC(=O)NC[C@]12COC(=O)N2,2gmv
2gsr_decoy_1,NC(=S)COC(=O)COC(=O)C(C(=O)OCC(=O)OO)=C(N)N,2gsr
2gsr_decoy_10,NC(=O)C(=O)OCC(=O)O[C@H](CS[C@@H](CO)C(N)=O)C(N)=O,2gsr
2gsr_decoy_2,COCO[C@@H](C(N)=O)C(=O)OCCOC(C(N)=O)=C(N)SO,2gsr
2gsr_decoy_3,COC(=O)CNC(=O)OC[C@H](OC(=O)[C@H](OO)C(N)=S)C(N)=O,2gsr
2gsr_decoy_4,CO[C@@H](COC(=O)COC(=O)[C@@H](OC(N)=O)C(N)=O)C(N)=O,2gsr
2gsr_decoy_5,NC(=O)O[C@@H](C(N)=O)[C@H](CSC(N)=O)OCCOC(=O)CO,2gsr
2gsr_decoy_6,NC(=O)COC(=O)CCC(COC(=O)O[SH]=O)(C(N)=O)C(N)=O,2gsr
2gsr_decoy_7,C[C@H](CO)[C@@H](NS(=O)(=O)O)C(=O)OCCNC(=O)OCC(N)=O,2gsr
2gsr_decoy_8,NC(=O)C(OCCNC(=O)COC(=O)COC(=O)SO)C(N)=O,2gsr
2gsr_decoy_9,C[C@@](CO)(C(N)=O)[C@H](CO)NC(=O)OCCOC(=O)N[SH](=O)=O,2gsr
2gss_decoy_1,Cc1ccc(C(=O)NC[C@H]2CCNC2)cc1[C@H](C)[NH2+]Cc1ccccc1C=O,2gss
2gss_decoy_10,Cc1c(Cl)ccc2c3c([nH]c12)CCO[C@@H]3CO,2gss
2gss_decoy_2,COc1cc(C(=O)[C@@H]2CC=C[C@@H](C)C2)c(N)cc1C[NH2+]CCc1cccnc1,2gss
2gss_decoy_3,C=CC[C@H](C(N)=O)[N@H+]1CCC[C@@H]1C(=O)Nc1ccc(C)c2c(C)c(C)ccc12,2gss
2gss_decoy_4,CC[C@](C)(NC(=O)c1cc(C)c2c(c1)CCCC(=O)N2)[C@@H]([NH2+]C)C1CCCC1,2gss
