PDBCode,RDKitCanonSmile
1bn3,[H]N([H])S(=O)(=O)c1cc2c(s1)S(=O)(=O)N(c1cccc(OC)c1)C=C2
3a1e,[H]OC1C(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
5tbe,[H]N(CCN1CCOCC1)C(=O)c1ccc2c(c1)C(=O)c1ccc(N([H])c3cc(N([H])C(=O)c4cccs4)c(F)cc3F)cc1CC2
1ciz,[H]N(C(Cc1cn([H])c2ccccc12)C(=O)O)S(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1
5l9g,[H]OCC(O[H])C(O[H])C(O[H])C(C[N+]([H])([H])C(CCC(O[H])N([H])[H])C(=O)O)O[H]
3ozt,[H]Oc1cc([N+](=O)[O-])cc(C(=O)N([H])CC=CC2OC(n3ccc(=O)cc3)C(O[H])C2O[H])c1O[H]
4y2b,[H]OC1c2scc(C3=CN([H])CC=C3)c2N([H])C(N([H])C(C)C)N1CC
3zei,[H]N(c1cccc(C(=O)O)c1)C1SC(=Cc2ccccc2OCC(=O)O)C(=O)N1C
6ayo,[H]OC1C[N+]([H])(Cc2cn([H])c3c2N([H])CN([H])C3N([H])[H])CC1CCC
2nta,[H]N1C(=O)CN(c2csc(-c3ccccc3)c2Cl)S1(=O)=O
2vni,[H]OC1C(COP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1OP(=O)(O)O
1f8c,[H]OCC(O[H])C(O[H])C1OC(C(=O)O)=CC([N+]([H])([H])[H])C1N([H])C(C)=O
6upj,[H]Oc1c2c(oc(=O)c1C(CC)c1ccccc1)C=CCCC2
4rqu,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])CN([H])C4N([H])[H])C(O[H])C2O[H])OC(N2C=CC=C(C(=O)N([H])[H])C2)C1O[H]
4np3,[H]N1CN([H])C(C[N+]2([H])CCc3cccc(N([H])[H])c3C2)=C1C
5fto,[H]N(C(=O)c1ccc(N2CC[N+]([H])(C)CC2)cc1N([H])C1CCOCC1)C1=C2CC(Cc3cc(F)cc(F)c3)=CC=C2N([H])N1[H]
1avn,[H]N1C=C(CC[N+]([H])([H])[H])N([H])C1
1qxw,[H]OC(CN([H])C1CC1)(O[H])C(CCCC)[N+]([H])([H])[H]
4tpw,[H]N1C(c2ccc(Cl)c(Cl)c2)=CSC1N([H])N([H])C(Cc1ccccc1[N+](=O)[O-])C(=O)O
3dz6,[H]OC1C(CN(C)CCCCON([H])[H])OC(N2C3C(=C(N([H])[H])N([H])CN3[H])N([H])C2C=C)C1O[H]
3gay,[H]OC(COP(=O)(O)O)C(O[H])C(O[H])C(=O)COP(=O)(O)O
3kjd,[H]N([H])C(=O)c1cccc2c1N([H])C(C1(C)CCC[N+]1([H])[H])N2[H]
1dzk,[H]N1C=CN([H])C(OC)=C1CC(C)C
2nx1,C=C(OP(=O)(O)O)C(=O)O
5j86,[H]Oc1cc(O[H])c(C2N(c3ccccc3C)C(=O)N([H])N2[H])cc1C(=O)N(C)Cc1cccs1
5op5,[H]N1CN([H])C2C(=C1N1CCOCC1)C(c1cccc(C#N)c1)=CN2[H]
1qca,[H]OC1CCC2(C)C(CCC3(C)C2C(O[H])CC2C(=C(CCC=C(C)C)C(=O)O)C(OC(C)=O)CC23C)C1C
3tfn,[H][N+]1(C(c2ccccc2)c2ccccc2)CCN(C(=O)CC2(CC(=O)O)CCCC2)CC1
1g7g,[H]N(CCCCC)C(=O)C(Cc1ccc(OCC(=O)O)c(C(=O)O)c1)N([H])C(=O)C(Cc1ccccc1)N([H])C(=O)CCC(=O)O
3ozr,[H]Oc1cc([N+](=O)[O-])cc(C(=O)N([H])CC=CC2OCC(O[H])C2O[H])c1O[H]
4m14,[H]N([H])C(=O)C1C(N([H])C(=O)N([H])[H])=CN(c2cccc3ccc(OC(C)C)cc23)N1[H]
5h85,[H]N1CN([H])C2=C1C(N([H])C(=O)c1cccc(C(=O)OC)c1)N([H])CN2[H]
5zyn,[H]OC(COP(=O)(O)O)C(O[H])C(CN1c2cc(C)c(C)cc2N([H])c2c1n([H])c(=O)n([H])c2=O)O[H]
5fdc,[H]N([H])S(=O)(=O)N([H])Cc1csc2ccccc12
3uz5,[H]N1c2cc(Cl)cc(Cl)c2N([H])N1[H]
3fjg,[H]OC(COP(=O)(O)O)C(=O)O
1bp0,[H]OC1CC(n2ccc(=O)n([H])c2=O)OC1COP(=O)(O)O
1ql7,[H]N1C=CC(N2CCC(C(=O)N3CCN(S(=O)(=O)c4ccc5cc(Cl)ccc5c4)CC3)CC2)=CC1
1uz4,[H]OCC1CN([H])C(=O)C(O[H])C1O[H]
6gji,[H]N(CC(=O)OCC)C(=O)N(CC1=CN(C)NN1[H])Cc1ccc(N([H])[H])cc1
3k97,[H]Oc1cc(O[H])c(C(=O)N2CCCC2c2ccccc2C)cc1Cl
1ohr,[H]Oc1cccc(C(=O)N([H])C(CSc2ccccc2)C(C[N+]2([H])CC3CCCCC3CC2C(=O)N([H])C(C)(C)C)O[H])c1C
3oo6,[H]OCC1OC(O[H])C(O[H])C(O[H])C1O[H]
5exl,[H]OC1=C2CC(C3=CC(C(Cc4ccccc4)N([H])C(=O)C4CCC(C[N+]([H])([H])[H])CC4)N([H])C=C3)=CC=C2N([H])N1[H]
4ayu,CC(=O)N1CCCC1C(=O)O
4yo8,[H]OC[N+]([H])(CCCCCC)CC1=C2C(=C(N([H])[H])N([H])CN2[H])N([H])C1
3qt6,O=C(O)C1CCCN1C(=O)COP(=O)(O)OP(=O)(O)O
2bqv,[H]OC1Cc2ccccc2C1N([H])C(=O)C(Cc1ccccc1)(C[N+]([H])(Cc1ccccc1)N([H])C(=O)C(C(C)C)N([H])C(=O)OC)O[H]
1g52,[H]N(Cc1cccc(F)c1F)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
3ar5,[H]N([H])C1=C2C(N([H])CN1[H])N(C1OC(COP(=O)(O)O)C3OC4(OC31)C([N+](=O)[O-])C=C([N+](=O)[O-])CC4[N+](=O)[O-])CN2[H]
4avj,[H]OCC1=CN(CCc2ccc(OC3OC(CO[H])C(O[H])C(O[H])C3O[H])cc2)NN1[H]
1m0q,[H]OC1=C(CN([H])C(C)P(=O)(O)O)C(COP(=O)(O)O)=CN([H])C1C
5hv0,O=C(O)C=CC(=O)C(=O)O
6n3o,[H]N1CC(Cl)=CC(S(=O)(=O)N([H])c2ccc(F)c(C#CC3=CN([H])C(N)N([H])C3)c2F)=C1OC
3qfy,[H]OCC1C[N+]([H])([H])CC(O[H])C1O[H]
1tnh,[H][N+]([H])([H])Cc1ccc(F)cc1
5yft,[H]OC1C(COP(=O)(O)O)OC(OP(=O)(O)O)C1O[H]
2wyf,[H]OCC1OC(OC2C(OC)OC(CO~[HH])C(O~[HH])C2O~[HH])C(O[H])C(O[H])C1O[H]
4eoh,[H]N1CN([H])c2c1c(=O)n(C)c(=O)n2C
5l2s,[H]N1C=C(C[N+]2([H])CC[N+]([H])(CC)CC2)C=CC1N([H])C1N([H])C=C(F)C(c2cc(F)c3c(c2)N(C(C)C)C(C)N3[H])N1[H]
6glb,[H]N1CC2=C(c3ccn([H])c31)N(C1CCCCC1)C(c1ccc(CCC#N)o1)N2[H]
2wb5,[H]OCC1C(O[H])C(O[H])C(N([H])C(=O)CC)C2N([H])C(CCc3ccccc3)=CN12
2jew,[H]N1CN(CCC)C=C1CC(CCC[N+]([H])([H])[H])C(=O)O
5ee7,[H]N(CCC(=O)O)C(=O)c1ccc(C(C)N2C(c3ccc4cc(OC)ccc4c3)=CC(c3cc(Cl)cc(Cl)c3)N2[H])cc1
6bbx,[H]Oc1ccc2c(c1O[H])C(=O)c1c(c(O[H])cc3c1N([H])C1C#CCCC#CC(O[H])C34OC14C(C)(O[H])C(O[H])C(=O)OC)C2=O
1x8r,[H]OC1C(OP(=O)(O)O)C=C(C(=O)O)CC1OC(C)(C(=O)O)P(=O)(O)O
4bf6,[H]N1NN(c2cccc(C#N)c2)C=C1c1ccc(S(=O)(=O)N([H])[H])s1
1qf0,[H]Oc1ccc(CC(C(=O)O)N([H])C(=O)C(Cc2ccccc2)N([H])C(=O)C(Cc2ccccc2)S[H])cc1
3tif,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
3m40,[H]N1CN([H])C(N([H])c2ccc(S(=O)(=O)N([H])[H])cc2)C([N+](=O)[O-])=C1Cl
3nu9,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1CCOC1
1ga8,[H]OCC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)n([H])c3=O)C(O[H])C2O[H])C(F)C(O[H])C1O[H]
4wrb,[H]Oc1ccc(N2C=C(C3=CC=C4CC(OCCOC)=CC=C4N3[H])N([H])N2)cc1
1uuo,[H]N1C(c2ccc(-c3ccccc3F)cc2)=C(C)C(C(=O)O)=C2C=C(F)C=CC21
4o09,[H]N1CCc2cc(-n3cc(C)c4c3CC(C)(C)CC4=O)cc(CC(C)C)c2C1=O
1qy2,[H]N1C=CN([H])C(C(C)C)=C1OC
3rt8,[H]OC1C(Cl)=CN(CC(C(=O)O)[N+]([H])([H])[H])C(=O)N1[H]
5fe9,[H]N(c1ccc2c(C)cc(=O)n(C)c2c1)S(C)(=O)=O
1v0k,[H]OC1COC(OC2CN(~[HH])(~[HH])CC(O~[HH])C2O~[HH])C(O[H])C1O[H]
4uap,[H]OCC1OC(O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
5v7a,[H]N([H])C1N([H])C(=O)C2=C(N1[H])N(C)C(SCC(=O)O)N2[H]
6fl8,[H]Oc1cc2cccc(O[H])c(=O)c2c(O[H])c1O[H]
5wyx,[H]N([H])C(=O)C1=CN([H])N2C(c3cccc(C)c3)=CCN([H])C12
3ohi,[H]Oc1c(CCOP(=O)(O)O)ccn(CP(=O)(O)O)c1=O
4u69,[H][N+]([H])([H])C(C(C)CCC)P(=O)(O)O
5a8e,[H]OC(COc1ccc(C)c2c1cc(C#N)n2[H])CN([H])C(C)(C)C
3uo4,[H]N(C1=CCN([H])C(N([H])c2ccc(C(=O)O)cc2)N1[H])c1ccccc1-c1ccccc1
1uml,[H]OC[C@@H](CCn1ccc2ccc(N([H])C(=O)CCc3ccccc3)cc21)N1C=C(C(=O)N([H])[H])N([H])C1
4hzx,[H]N(C(C)=O)c1c(N)cc(C(=O)O)cc1OC(CC)CC
6euw,[H]N1C=C(F)C(N([H])C2C3CCC(CC3)C2C(=O)O)N([H])C1=C1C2=CC(F)=CN([H])C2N([H])N1[H]
3aho,[H]N(C(=O)C1CCCN1C(=O)C[N+]([H])([H])[H])C(Cc1ccccc1)P(=O)(O)CCC(=O)N1CCCC1C(=O)[N+]([H])=C(CCCC)C(=O)O
5g46,[H]n1c(CC)cc(=O)c2ccccc21
3vhk,[H]OCc1cccc(OCC2=C(C)OC(c3ccccc3)N2[H])c1
5n31,[H]N(CP(=O)(O)N([H])C(CC(C)C)C(=O)N([H])C(CCCC)C(=O)O)C(=O)OCc1ccccc1
3v2p,CCCCCCCCCCCCCCCCCC(=O)O
5wbm,[H]OCC1CCCN(C2=C3C(C)=CN([H])C3N([H])CN2[H])C1
2gh9,[H]OCC1OC(OC2C(CO[H])OC(OC3C(CO[H])OC(O[H])C(O[H])C3O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
5vyy,[H]Oc1cc(O[H])c(C(=O)OC)c(CCC2N([H])C=CN2Cc2ccccc2)c1Cl
2o8h,[H]N1CN([H])C(N2CCc3cccc(S(=O)(=O)N4CC[N+]([H])(C)CC4)c3C2)=C2CC(OC)=C(OC)C=C21
1frb,[H]N1c2cc(C(F)(F)F)ccc2SC1CN1C(=O)c2ccccc2C(CC(=O)O)N1[H]
2r38,[H]N([H])C(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)C2C[N+]([H])([H])CC2N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)N([H])[H])cc2)cc1
1zge,[H]N([H])c1c(Cl)cc(S(=O)(=O)N([H])[H])cc1Cl
3k99,[H]Oc1ccc(C(=O)n2cc3ccccc3c2)c(O[H])c1
2ole,[H]OC(CC(Cc1cc(F)c(F)cc1F)[N+]([H])([H])[H])N1CCCCCN1C(O[H])c1ccccc1
4db7,[H]OC1=C(CCC(=O)O)N([H])N([H])C2=C1C(O[H])N([H])C(N([H])[H])N2[H]
4u70,[H][N+]([H])([H])C(CC1CCCCC1)P(=O)(O)O
5vcz,[H]N1C=C(C#N)C(N([H])c2cc(Cl)c(OC)c(Cl)c2)=C2CC(OC)=C(OCCC[N+]3([H])CC[N+]([H])(C)CC3)C=C21
1eby,[H]OC1Cc2ccccc2C1N([H])C(=O)C(OCc1ccccc1)C(O[H])C(O[H])C(OCc1ccccc1)C(=O)N([H])C1c2ccccc2CC1O[H]
4alx,[H][N+]12CCC3=CCC(OC)CC31C1=C(CC2)COC(=O)C1
1y3n,[H]OC1CC(C(=O)O)OC(OC2C(C(=O)O)OC(O~[HH])C(O~[HH])C2O~[HH])C1O[H]
4yhm,[H]N([H])C(c1ccc(N([H])CC2N([H])c3cc(C(=O)N(CCC(=O)O)C4C=CC=CN4[H])ccc3N2C)cc1)=[N+]([H])[H]
6d50,[H]OC1C(=O)OC(C(=O)O)C(O[H])C1O[H]
1xhy,[H][N+]1([H])CC(C(C)C)C(CC(=O)O)C1C(=O)O
5uff,[H]OCC1OC(O[H])C(O[H])C(O[H])C1OC1OC(CO[H])C(O[H])C(O[H])C1OC1OC(C)C(O[H])C(O[H])C1O[H]
1msn,[H]Oc1cccc(C(=O)N([H])C(Cc2ccccc2)C(O[H])C(=O)N2CSC(C)(C)C2C(=O)N([H])Cc2ccccc2C)c1C
4rfd,[H]N([H])S(=O)(=O)c1ccc(OCCC=C[N+]([H])([H])[H])cc1
2fwp,[H]OC(CC(=O)O)(CC(=O)O)C(=O)O
5l7g,[H]N1OC(COc2cccc(F)c2F)=C(c2ccc(CN([H])S(=O)(=O)C3(C)CC3)cc2)C1C
4jaw,[H]OCC1OC(OC2C(O[H])C(CO[H])OC3SC(C)N([H])C32)C(O[H])C(O[H])C1O[H]
4qpd,[H]N1CC(CN([H])c2ccc(C(=O)N([H])C(CCC(=O)O)C(=O)O)cc2)[N+]([H])([H])C2=C1N([H])C(N([H])[H])N([H])C2=O
3pb9,[H]N1C=CN(Cc2ccccc2)C1
1m2p,[H]Oc1cccc2c1C(=O)c1c(O[H])ccc([N+](=O)[O-])c1C2=O
5uv1,CC(C)=CCCC(C)=C(F)COP(=O)(O)OP(=O)(O)O
1pbq,[H]OC1=C2C(Cl)=CC(Cl)=CC2N([H])C(C(=O)O)=C1
4kyk,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
5tuo,[H]N([H])C1SC(S(=O)(=O)N([H])[H])N([H])N1[H]
4rd3,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
3gta,[H]N(C(=O)C(C)[N+]([H])([H])C)C(C(=O)N1CCCC1C1Sc2cccc(-c3ccccc3)c2N1[H])C1CCCCC1
5zaf,[H]N([H])C1=C(C(=O)N([H])C(N([H])[H])=[N+]([H])[H])N([H])C(c2ccoc2)=C(N2CCCCCC2)N1[H]
1c5s,[H]N([H])C(c1cc2ccccc2s1)=[N+]([H])[H]
5evz,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
2p1c,[H]OC(CCN(C)CCCCc1ccccc1)(P(=O)(O)O)P(=O)(O)O
1odi,[H]OCC1OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C(O[H])C1O[H]
4av4,[H]OCC1OC(OCC#CC2=CN([H])CC=C2)C(O[H])C(O[H])C1O[H]
6ob5,CC(C)=CCCC(C)=CC=CC(C)=CCOP(=O)(O)OP(=O)(O)O
3d1z,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
3lzs,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
1yc5,[H]N1C=CC=C(C(=O)N([H])[H])C1
2al5,[H]n1c(=O)c(F)cn(CC(C(=O)O)[N+]([H])([H])[H])c1=O
2bys,[H]OC(CC1CCCC(CC(=O)c2ccccc2)[N+]1([H])C)c1ccccc1
3hb5,[H]Oc1ccc2c(c1)CCC1C2CCC2(C)C1CC(Cc1cccc(C(=O)N([H])[H])c1)C2O[H]
3p4v,[H]Oc1ccc(CC(C(=O)O)N([H])C(=O)C=CC(=O)OC)cc1Cl
2psj,[H]Oc1ccc(CC(=O)N([H])C2=C(Cc3ccccc3)N([H])C(c3ccc(O[H])cc3)=CN2[H])cc1
3fw3,[H]N([H])S(=O)(=O)c1cc2c(s1)S(=O)(=O)C(C)CC2[N+]([H])([H])CC
2qhy,[H]OC(CN(Cc1cccs1)S(=O)(=O)c1cc(F)c(F)cc1F)C(Cc1ccccc1)N([H])C(=O)C(C)N([H])C(C)=O
2cc7,[H]N1c2cc(C)c(C)cc2N([H])c2c1c(=O)n([H])c(=O)n2[H]
3i7e,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
4lm4,[H]OC1=C2C=CC=CC2N([H])CN1[H]
2q8m,[H]OC1C(COP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
4wa9,[H]N(C)C(=O)c1ccccc1SC1=CC2C(=C(C=CC3C=CC=CN3[H])N([H])N2[H])C=C1
4zbr,[H]N(c1ccccc1CC(=O)O)c1c(Cl)cccc1Cl
2hxm,[H]N(C=C1CC(=O)N([H])C(=O)N1[H])OCCON([H])Cc1ccc(C(=O)O)cc1
4rak,[H]OC(C)(C)C1=CN(c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)C(C(C)(C)c2ccccc2Cl)N1[H]
6cwn,[H]OC1C2OC(C)(C(=O)O)OCC2OC(OC)C1N([H])C(C)=O
4q4p,[H]N1CN([H])c2cc3c(cc2C1=O)N([H])C(N([H])CC[N+]1([H])CCCCC1)N3[H]
5anu,[H]N(C)C1=C2C3N(Cc4cccc(c4)OCCOCCOC(N1[H])N3[H])C(=O)N2[H]
2j94,[H]N1C(c2ccc(Cl)s2)N([H])N([H])C1S(=O)(=O)N([H])C1CCN(C(C)C(=O)N2CCOCC2)C1=O
4nh7,[H]OC1CCC(N([H])c2cc(N3C4=C(C(=O)CC(C)(C)C4)C(C(F)(F)F)N3[H])ccc2C(=O)N([H])[H])CC1
1w0z,[H]OCC(C(=O)N([H])C(C)C(=O)N([H])Cc1ccc(C(N([H])[H])=[N+]([H])[H])cc1)N([H])S(=O)(=O)CCCC
1tcx,[H]OC(CC(Cc1ccccc1)C(=O)N([H])C(C(C)C)C1N([H])C=CN1[H])C(Cc1ccccc1)N([H])C(=O)OC(C)(C)C
3b1m,[H]OC1=C(C(C)=O)C(=O)C2(C)c3c(O[H])cc(OC)c(C(=O)N([H])Cc4c(CC)ccc5ccccc45)c3OC2C1
3u9q,CCCCCCCCCC(=O)O
3ies,[H]OC1C(COP(=O)(O)OC(=O)c2cccc(C3N([H])OC(c4ccccc4F)N3[H])c2)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
5w1e,[H]Oc1ccc(C(=O)O)cc1
4r73,[H]OC1OC(COP(=O)(O)O)C(O[H])C(O[H])C1O[H]
1j37,[H]SCC(C)C(=O)N1C=CCC1C(=O)O
3jup,[H]N(c1ccc(Br)cc1C(=O)O)C1CCC[N+]([H])([H])C1
2xjx,[H]Oc1cc(O[H])c(C(C)C)cc1C(=O)n1cc2ccc(C[N+]3([H])CC[N+]([H])(C)CC3)cc2c1
5y8y,[H]N1OC2=CC(OC)=C(N([H])S(=O)(=O)c3cc(Br)ccc3OC)CC2=C1C
5tya,[H]N1C(=O)SC(c2ccccc2)C1=O
2zdl,[H]N([H])C(c1ccc(CN([H])C(=O)C2CCCN2C(=O)COC2CCCC2)cc1)=[N+]([H])[H]
2bt9,[H]OC1C(C)OC(OC)C(O[H])C1O[H]
3tdc,[H]N(CC)C(=O)N([H])c1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
3vhe,[H]N1CN([H])C(Oc2ccc(N([H])C(=O)N([H])c3cccc(C(F)(F)F)c3)c(F)c2)c2c1ccn2C
4hzm,[H]OCC1C(O[H])C(O[H])C(N([H])C(=O)CCC)C[N+]1([H])[H]
6jtc,[H]N(CC[N+]([H])([H])[H])c1ccc([N+](=O)[O-])cc1C(=O)O
3lvw,[H]SCC(C(=O)N([H])CC(=O)O)N([H])C(=O)CCC(C(=O)O)[N+]([H])([H])[H]
6cbg,[H]N1C=C(c2cccc(C(=O)O)c2)CN1[H]
1fhw,[H]OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
4gr8,[H]N([H])C(=O)C(C)N([H])C(=O)C(C)N([H])C(=O)C(CC1C=C(c2ccccc2)N([H])O1)CP(=O)(O)c1ccc(Br)cc1
5h1u,[H]N([H])C(=O)c1ccc2c(c1)SC(N([H])[H])N2[H]
1x8t,[H]OC1C(OP(=O)(O)O)C=C(C(=O)O)CC1OC(C)(C(=O)O)P(=O)(O)O
5nxg,[H]N(C(=O)c1ccc([N+](=O)[O-])cc1Cl)c1ccc(S(=O)(=O)N([H])[H])cc1
1c1u,[H]N([H])C(c1ccc2c(c1)N([H])C(CC1N([H])c3ccccc3N1[H])N2[H])=[N+]([H])[H]
3roc,[H]OCCN([H])C(=O)c1ccc(C)c(N2CN([H])C(OCc3ccc(F)cc3F)=C(Cl)C2=O)c1
5d21,[H]OCC1OC(Oc2ccccc2)C(O[H])C(O[H])C1O[H]
2zdn,[H]N([H])C(c1ccc(CN([H])C(=O)C2CCCN2C(=O)CCC2CCCC2)cc1)=[N+]([H])[H]
4ks4,[H]OC(CC)C1=CN(C2CC(C(=O)O)CC(OC(CC)CC)C2N([H])C(C)=O)N([H])N1[H]
4u71,[H][N+]([H])([H])C(C1CCCCC1)P(=O)(O)O
5vl2,[H]N(C(=O)N([H])c1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1
3uil,CCCCCCCCCCCC(=O)O
2ceq,[H]OCC1C(O[H])C(O[H])C(O[H])C2N([H])C=CN12
4lar,[H][N+]([H])([H])C(C)Cc1ccccc1
5y12,[H]N(CCCCC(=O)O)S(=O)(=O)c1ccc(OC)c2ccccc12
1ugx,[H]OCC1OC(OC2C(O~[HH])C(CO~[HH])OC(OC)C2N(~[HH])C(C)=O)C(O[H])C(O[H])C1O[H]
4ht2,[H]N1C(C)=CC(C)N([H])C1Sc1c(F)c(F)c(S(=O)(=O)N([H])[H])c(F)c1F
5vc3,[H]N1C=C(C#N)C(N([H])c2cc(OC)c(Cl)cc2Cl)=C2CC(OC)=C(OCCC[N+]3([H])CC[N+]([H])(C)CC3)C=C21
3b65,[H]OC(C)(COc1ccc(C#N)cc1)C(=O)N([H])c1ccc(C#N)c(I)c1
2vk6,[H]OCC(O[H])C(O[H])C1OC(C(=O)O)=CC(O[H])C1N([H])C(C)=O
5n2d,[H]N(CC[N+]([H])([H])Cc1c(OC)cc(OCc2cccc(-c3ccccc3)c2C)cc1OC)C(C)=O
3bgz,[H]n1c(-c2ccccc2)c(-c2ccccc2)c2cccc(C(=O)O)c21
2qjy,[H]Oc1c(OC)cc(OC)c2c(=O)c(C)c(CCC(C)C(OC)C(C)C(C=CC=CC(C)=CC)OC)oc12
1wcb,[H]OC1=C(C[N+]([H])([H])C(CCCC[N+]([H])([H])[H])C(=O)O)C(COP(=O)(O)O)=CN([H])C1C
2rka,O=C(O)COP(=O)(O)O
1gym,[H]OCC1OC(OC2C(O[H])C(O[H])C(O[H])C(O[H])C2O[H])C([N+]([H])([H])[H])C(O[H])C1O[H]
6eed,[H]ON([H])C(=O)C(c1ccc(-c2cc(F)c(F)c(F)c2)cc1)N([H])C(=O)CC1CCCCC1
1jqy,[H]OCC1OC(Oc2cc(C(=O)N([H])CCC[N+]3([H])C=COCC3)cc([N+](=O)[O-])c2)C(O[H])C(O[H])C1O[H]
6ckw,[H]N(CC(c1ccccc1OC)[N+]([H])([H])[H])C1C=C(C)N([H])C2N([H])C(N([H])C(CC#N)c3cccc(Cl)c3)N([H])N12
3ui7,[H]N1C2=C(C)C=C(OC)CC2=C(C[N+]2([H])CCOCC2)C2=C1N([H])N([H])C2C
1fao,[H]OC1C(OP(=O)(O)O)C(O[H])C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
3b92,[H]SCCCS(=O)(=O)c1ccc(OCC#CC)cc1
4u6z,[H][N+]([H])([H])C(C(C)CCC)P(=O)(O)O
2aaw,[H]N(CC(=O)O)C(=O)C(CSCCCCCC)N([H])C(=O)CCC(C(=O)O)[N+]([H])([H])[H]
1li6,[H]n1ccc(C)c1
4i7k,Cc1ccccc1
1mu8,[H]N(CC1C(F)=C(C)C=CN1[H])C(=O)CN1C(=O)C(N([H])CC(F)(F)C2C=CC=CN2[H])N([H])C=C1C
4cp5,[H]SP(=O)(COC(C)CN1CN([H])C2=C(N([H])[H])N([H])CN([H])C21)OP(=O)(O)OP(=O)(O)O
4rfr,[H]Oc1c2cccc(O[H])c2c(O[H])c2c(O[H])cc(C(=O)O)cc12
3hzk,[H]OCC(O[H])C1OC(OC=CC)(C(=O)O)CC(OC2(C(=O)O)CC(O~[HH])C(O~[HH])C(C(CO~[HH])O~[HH])O2)C1O[H]
4aax,[H]OCC1OC(O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
3ttp,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
6fgg,[H]N(C(=O)c1ccc(=O)n(C)c1)c1ccc2oc(=O)n(CC[N+]([H])(C)C)c2c1
3bxe,[H]OCC(=O)COP(=O)(O)O
1akv,[H]OC(COP(=O)(O)O)C(O[H])C(CN1C2=C(C(O[H])N([H])C(O[H])N2[H])N([H])c2cc(C)c(C)cc21)O[H]
1zoh,[H]N1c2c(Br)c(Br)c(Br)c(Br)c2N2CCN(C)C12
4tz2,[H]N([H])c1cccc(C2N([H])C(c3ccccc3)N([H])N2[H])c1
4qag,[H]Oc1ccc2c(CC(=O)O)cc(=O)oc2c1O[H]
5ia2,[H]Oc1ccc(C)c(C2=CN3C4=C(N(C)C(=O)N([H])C4O[H])N([H])C3N2c2ccccc2OC)c1
3vbd,[H]N([H])S(=O)(=O)c1ccc(C2c3ccc(OC)cc3CC[N+]2([H])[H])cc1
4x6n,[H]N([H])C1=C2C=CC(C3=C(Cl)N([H])C(C(Cc4ccccc4)N([H])C(=O)N([H])Cc4cc(Cl)ccc4N4CN([H])N([H])N4[H])N3[H])=CC2N([H])N1[H]
1xt3,[H]OC(CC(=O)O)(CC(=O)O)C(=O)O
3efs,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
