PDBCode,DatabaseSmile,RDKitCanonSmile
4h81,Cl[C@@H](C(=O)O)Cc1ccccc1,O=C(O)[C@H](Cl)Cc1ccccc1
4mre,Nc1c(C)cccc1N,Cc1cccc(N)c1N
3ai8,O=N(=O)c1ccc(c2c1cccn2)O,O=[N+]([O-])c1ccc(O)c2ncccc12
4ipn,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1S[C@@H]1O[C@@H](COP(O)(O)O)[C@H]([C@@H]([C@H]1O)O)O)O)O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1S[C@@H]1O[C@@H](CO[PH](O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
1aid,Fc1ccc(cc1)C1(CCC[N@@H+]2CC[C@@](CC2)(O)c2ccc(cc2)Cl)SCCS1,OC1(c2ccc(Cl)cc2)CC[NH+](CCCC2(c3ccc(F)cc3)SCCS2)CC1
6b4d,CCn1cc(c2c1cccc2)c1nn(c(c1)C(=O)O)C,CCn1cc(-c2cc(C(=O)O)n(C)n2)c2ccccc21
3cy2,Cn1c2cc(ccc2c3c1C(=O)NC4([C@@H]3C#N)CCNCC4)Cl,Cn1c2c(c3ccc(Cl)cc31)[C@@H](C#N)C1(CCNCC1)NC2=O
3ozp,OC[C@H]1O/C(=N/OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C,CC(=O)N[C@H]1/C(=N\OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O
4hgw,O=C([O-])C1(OC=CC)OC(C(O)CO)CC(OC2(C(=O)[O-])OC(C(O)CO)C(O)C(O)C2)C1,CC=COC1(C(=O)[O-])CC(OC2(C(=O)[O-])CC(O)C(O)C(C(O)CO)O2)CC(C(O)CO)O1
1iy8,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
4x5r,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)NC2=C(C(=O)C2=O)N2CC[N@H+](CC2)C)[C@H]([C@H]([C@@H]1O)O)O,C[NH+]1CCN(c2c(Nc3ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c(Cl)c3)c(=O)c2=O)CC1
4crc,O=C(N[C@H](C(=O)Nc1ccc(cc1)c1n[nH]nn1)Cc1ccccc1)/C=C/c1cc(Cl)ccc1n1cnnn1,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2nn[nH]n2)cc1
3cd0,O[C@@H](C[C@H](CC(=O)O)O)CCc1c(nc(n1C(C)C)C(=O)NCc1ccc(cc1)F)c1ccc(cc1)F,CC(C)n1c(C(=O)NCc2ccc(F)cc2)nc(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)O
5wl0,OC(=O)[C@H]1[C@@H]2CC[C@H]([C@@H]1Nc1nc(ncc1F)c1c[nH]c3c1cc(F)cn3)CC2,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F
1oif,OC[C@H]1C[NH2+]C[C@H]([C@@H]1O)O,OC[C@H]1C[NH2+]C[C@@H](O)[C@@H]1O
1wcq,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1[NH2+][C@H](O)C)O)C(=O)O)O)O,C[C@@H](O)[NH2+][C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
6gnw,OC(=O)COc1cc(Cl)c(cc1Cl)Cl,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
4r3w,O[C@@H]1[C@@H](COP(O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O[PH](O)(O)O
5kqy,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1C=CO2)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OC=C[C@H]21)S(=O)(=O)c1ccc(N)cc1
4cmo,CNC(=O)c1ccc(cc1[C@H](Oc1nc(cnc1N)c1cccnc1OC)C)F,CNC(=O)c1ccc(F)cc1[C@@H](C)Oc1nc(-c2cccnc2OC)cnc1N
6dum,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CCC(=C5)C(=O)N)O)O)O)O)N,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
4uyg,C[C@H]1C[C@H](c2cc(ccc2N1C(=O)C)c3ccc(cc3)C(=O)O)Nc4ccc(cc4)Cl,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C
3n9r,OCCCCN(C(=O)COP(O)(O)O)O,O=C(CO[PH](O)(O)O)N(O)CCCCO
1li2,Oc1ccccc1,Oc1ccccc1
4cft,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
5u0y,OC(=O)CSc1[nH]c2c(n1)c(=O)[nH]c(n2)N,Nc1nc2[nH]c(SCC(=O)O)nc2c(=O)[nH]1
4crf,Clc1ccc2c(c1)c(CNC(=O)[C@@H](NC(=O)c1ccc3c(c1)c(O)cc(=O)[nH]3)Cc1ccccc1)cc(=O)[nH]2,O=C(N[C@@H](Cc1ccccc1)C(=O)NCc1cc(=O)[nH]c2ccc(Cl)cc12)c1ccc2[nH]c(=O)cc(O)c2c1
4h3g,N#Cc1cccc(c1)c1csc(c1)[C@@]12CN(C[C@H]2C(=O)[N+](=C(N1)N)C)c1ncccc1C#N,C[N+]1=C(N)N[C@@]2(c3cc(-c4cccc(C#N)c4)cs3)CN(c3ncccc3C#N)C[C@H]2C1=O
2r9w,OC(=O)c1ccc2c(c1)C(=O)N(C2=O)[C@@H](C(=O)O)Cc1cccc2c1cccc2,O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1cccc3ccccc13)C(=O)O)C2=O
2vwc,CO[C@@H]1[C@@H](C)/C=C(C)/[C@H](OC(=O)N)[C@@H](C)/C=CC=C(C(=O)NC2=CC(=O)C=C([C@@H]([C@H](C[C@@H]1OC)C)OC)C2=O)/C,CO[C@H]1C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)C(C)=CC=C[C@H](C)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]1OC)C2=O
3zxz,OCCn1ncc(c1)c1cnc2c(n1)n(nn2)Cc1ccc2c(c1)cccn2,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1
4fp1,OC(=O)C(C(F)(F)F)(C(F)(F)F)O,O=C(O)C(O)(C(F)(F)F)C(F)(F)F
3muz,OC[C@H]1O[C@@H](SC(C)C)[C@@H]([C@H]([C@H]1O)O)O,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
1ksn,COC(=O)[C@@H]([C@H](NC(=O)c1ccc(cc1)c1cc[n+](cc1)[O-])C)Cc1cccc(c1)C(=[NH2+])N,COC(=O)[C@H](Cc1cccc(C(N)=[NH2+])c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1
4cc6,c1cncc2c1c(n[nH]2)c3cc(cc(n3)C(F)(F)F)NCCO,OCCNc1cc(-c2n[nH]c3cnccc23)nc(C(F)(F)F)c1
2am4,OC[C@H]1O[C@H](OP(OP(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(=O)[nH]c2=O)(O)O)(O)O)[C@@H]([C@H]([C@@H]1O)O)F,O=c1ccn([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)[C@@H](O)[C@H]2O)c(=O)[nH]1
1bxr,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]1O
1g32,Cn1c(CNc2ccc(cc2)C(=[NH2+])N)nc2c1ccc(c2)Cn1c(C)nc2c1cccc2,Cc1nc2ccccc2n1Cc1ccc2c(c1)nc(CNc1ccc(C(N)=[NH2+])cc1)n2C
6ma3,OC(=O)CN(C(=O)[C@@H](c1ccccc1OCCCC(=O)O)NS(=O)(=O)c1ccc2c(c1)ccc(=O)[nH]2)Cc1cccs1,O=C(O)CCCOc1ccccc1[C@@H](NS(=O)(=O)c1ccc2[nH]c(=O)ccc2c1)C(=O)N(CC(=O)O)Cc1cccs1
1vfn,O=c1[nH]cnc2c1[nH]cn2,O=c1[nH]cnc2nc[nH]c12
6bld,CC(=CCC/C(=C/C=C/C(=O)C)/C)C,CC(=O)/C=C/C=C(\C)CCC=C(C)C
1bxo,COC(=O)[C@@H]1Cc2cccc(c2)CNC(=O)C[C@@H](C(=O)N[C@H](P(O1)(O)O)CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C,COC(=O)[C@@H]1Cc2cccc(c2)CNC(=O)C[C@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[PH](O)(O)O1
4w9c,O[C@@H]1C[C@H](N(C1)C(=O)CC(C)(C)C)C(=O)NCc1ccc(cc1)c1ocnc1,CC(C)(C)CC(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2cnco2)cc1
6b1k,Oc1ccc(cc1)n1nnc(c1)c1ccc2c(n1)c(=O)n(cc2)C,Cn1ccc2ccc(-c3cn(-c4ccc(O)cc4)nn3)nc2c1=O
1fv0,COc1c(O)ccc2c1cc(N(=O)=O)c1c2c2OCOc2cc1C(=O)O,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
3o75,OC[C@H]1O[C@]([C@H]([C@@H]1O)O)(O)COP(O)(O)O,OC[C@H]1O[C@](O)(CO[PH](O)(O)O)[C@@H](O)[C@@H]1O
3ozt,O[C@@H]1[C@@H](/C=C/CNC(=O)c2cc(cc(c2O)O)N(=O)=O)O[C@H]([C@@H]1O)n1ccc(=O)cc1,O=C(NC/C=C/[C@H]1O[C@@H](n2ccc(=O)cc2)[C@H](O)[C@@H]1O)c1cc([N+](=O)[O-])cc(O)c1O
3aho,CCCC[C@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)CCP([C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)C[NH3+])(O)O,CCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CC[PH](O)(O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)C[NH3+])C(=O)O
1h22,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCC[NH2+][C@H]1CCCc2c1ccc(=O)[nH]2,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCC[NH2+][C@H]1CCCc2[nH]c(=O)ccc21
3b68,CC(=O)Nc1ccc(cc1)OC[C@@](C(=O)Nc1ccc(c(c1)C(F)(F)F)N(=O)=O)(O)C,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1
3b7u,ONC(=O)C[C@H](C(=O)N[C@H](C(=O)O)C)Cc1ccccc1,C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C(=O)O
2q2y,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
5t8p,NC(=O)c1ccc2c(n1)c1sccc1CCO2,NC(=O)c1ccc2c(n1)-c1sccc1CCO2
4dsu,c1ccc2c(c1)[nH]cn2,c1ccc2[nH]cnc2c1
4del,ONC(=O)COP(O)(O)O,O=C(CO[PH](O)(O)O)NO
3x00,O=CCCCCCNC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1[NH+]=C(N2)N,NC1=[NH+][C@@H]2[C@H](CCCCC(=O)NCCCCCC=O)SC[C@@H]2N1
3o56,CCn1ncc2c1ncc(c2NC1CCOCC1)c1onc(n1)CC(=O)N1CCCC1,CCn1ncc2c(NC3CCOCC3)c(-c3nc(CC(=O)N4CCCC4)no3)cnc21
6eif,NS(=O)(=O)c1ccc(cc1)c1cnc2c(c1)c(c[nH]2)c1cccnc1,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1
1jq3,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSC(=CCN)CCCCCN)O)O)N,NCC=C(CCCCCN)SC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
2c97,Clc1[nH]c(=O)[nH]c(=O)c1CCCCOP(O)(O)O,O=c1[nH]c(Cl)c(CCCCO[PH](O)(O)O)c(=O)[nH]1
4i6h,CC[C@@H]1C(=O)N(c2cnc(nc2N1C3CCCC3)n4ccnc4c5cscn5)C,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3cscn3)nc2N1C1CCCC1
3r88,COc1cc(C(=O)O)c(cc1OC)N,COc1cc(N)c(C(=O)O)cc1OC
1s38,Nc1nc2c(C)cccc2c(=O)[nH]1,Cc1cccc2c(=O)[nH]c(N)nc12
3n2p,O=C(Nc1cccc(c1)N(=O)=O)Nc1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(NC(=O)Nc2cccc([N+](=O)[O-])c2)cc1
1qxk,COC(=O)c1c(OCCCCNC(=O)[C@H](Cc2ccc(c(c2)O)OCC(=O)O)NC(=O)C)cccc1O,COC(=O)c1c(O)cccc1OCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(O)c1)NC(C)=O
3d4y,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](c2n1ccn2)O,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21
3d8z,O[C@@H]1C[C@H](O[C@H]1C[NH+]1CCCC1)n1cc(C)c(=O)[nH]c1=O,Cc1cn([C@@H]2C[C@@H](O)[C@H](C[NH+]3CCCC3)O2)c(=O)[nH]c1=O
4q81,Cc1cc(C)n(c(=S)c1)O,Cc1cc(C)n(O)c(=S)c1
6fba,Oc1cc2ccccc2cc1O,Oc1cc2ccccc2cc1O
2hl4,OC[C@H]1O[C@@H](Nc2ccc(cc2)S(=O)(=O)N)[C@@H]([C@H]([C@@H]1O)O)O,NS(=O)(=O)c1ccc(N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
4trc,Nc1ncnc2c1[nH]cn2,Nc1ncnc2nc[nH]c12
4ujb,Fc1cccc(c1)C(=O)[C@H]1C[NH2+]C[C@@H]1c1ccc2c(c1)NCNC2=O,O=C1NCNc2cc([C@H]3C[NH2+]C[C@@H]3C(=O)c3cccc(F)c3)ccc21
3qx5,Clc1cc[n+](c(c1)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])C,C[n+]1ccc(Cl)cc1CNC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccccc1
4ghi,Fc1cc(cc(c1)Cl)Nc1ccc2c(c1N(=O)=O)non2,O=[N+]([O-])c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12
5n9r,O=C(N1CC[C@](CC1)(O)Cn1cnc2c(c1=O)scc2Br)C[C@H](c1ccccc1)C,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(Br)csc3c2=O)CC1)c1ccccc1
3cj4,C[C@@H]1C[C@H](C)CN(C1)C(=O)c1cc(Br)ccc1NC(=O)CCC(=O)O,C[C@H]1C[C@@H](C)CN(C(=O)c2cc(Br)ccc2NC(=O)CCC(=O)O)C1
4jzi,O=C(c1cc(Oc2ccc(cc2)C(=[NH2+])N)nc(c1)Oc1ccc(cc1)C(=[NH2+])N)N[C@@H]1CC[C@H](CC1)[NH3+],NC(=[NH2+])c1ccc(Oc2cc(C(=O)N[C@H]3CC[C@H]([NH3+])CC3)cc(Oc3ccc(C(N)=[NH2+])cc3)n2)cc1
6gjr,CCOC(=O)CNC(=O)N(Cc1nnn(n1)C)Cc1ccc(cc1)N,CCOC(=O)CNC(=O)N(Cc1ccc(N)cc1)Cc1nnn(C)n1
4djp,CC[C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)C[C@H]([C@H](Cc1ccccc1)NC(=O)OC[C@@H](C(=O)OC)C)O)C,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@H](C)C(=O)OC)S(=O)(=O)c1ccc(OC)cc1
6dh6,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1
4tun,CNC(=O)C[C@@H](OP(OC)(O)O)C,CNC(=O)C[C@H](C)O[PH](O)(O)OC
4mnp,OC[C@H]([C@H]([C@@H]1O[C@@](O)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
2xog,OC[C@H]1O[C@H]([C@@H]([C@@H]1CS(=O)(=O)N[C@@H]([C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)O)O)n1ccc(=O)[nH]c1=O,Nc1ncnc2c1ncn2[C@@H]1O[C@H]([C@@H](O)NS(=O)(=O)C[C@@H]2[C@@H](CO)O[C@@H](n3ccc(=O)[nH]c3=O)[C@@H]2O)[C@@H](O)[C@H]1O
6c7x,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc(Cl)nc2N)COS(=O)(=O)N,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](O)[C@H]1O
6f92,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](c2n1ccn2)O,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21
1w0o,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)O,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
6hd6,O=C(c1cccc(c1)C[NH+]1CCOCC1)Nc1ccc(cc1)OC(F)(F)F,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cccc(C[NH+]2CCOCC2)c1
3ttm,[NH3+]CCCC[NH3+],[NH3+]CCCC[NH3+]
4ciw,OCCC1=C[C@](O)(C[C@H]([C@@H]1O)O)C(=O)O,O=C(O)[C@]1(O)C=C(CCO)[C@@H](O)[C@H](O)C1
3m3c,OC[C@H]1O[C@H](Oc2ccc(cc2)N(=O)=O)[C@@H]([C@H]([C@H]1O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)NC(=O)C,CC(=O)N[C@H]1[C@@H](Oc2ccc([N+](=O)[O-])cc2)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
2bq7,COc1cccc(c1)Cn1c(cc2c1cccc2)C(=O)N[C@@H]1CC[N@H+](CC1)C(C)C,COc1cccc(Cn2c(C(=O)NC3CC[NH+](C(C)C)CC3)cc3ccccc32)c1
5o4f,CN1N=C([C@H]2[C@@H]1C[NH2+][C@@H]2C(=O)O)C(=O)O,CN1N=C(C(=O)O)[C@@H]2[C@@H](C(=O)O)[NH2+]C[C@@H]21
5ia1,Clc1ccc2c(c1)C(=NCc1c2nc(nc1)Nc1ccc(cc1)C(=O)O)c1c(F)cccc1F,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
5nvv,OCC(=O)N[C@@H](C(C)(C)C)C(=O)N1C[C@@H](C[C@H]1C(=O)NCc1ccc(cc1)c1scnc1C)O,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CO)C(C)(C)C)cc1
5duf,CCc1ccc(cc1)[C@H]2C[C@H](n3c(c(cn3)C(=O)O)N2)C(F)(F)F,CCc1ccc([C@H]2C[C@@H](C(F)(F)F)n3ncc(C(=O)O)c3N2)cc1
2pvl,CC[NH+]1CCN(CC1)c1nc(Nc2ccccc2)n2c(n1)c(C#N)cn2,CC[NH+]1CCN(c2nc(Nc3ccccc3)n3ncc(C#N)c3n2)CC1
6mvh,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
2fx6,Nc1nc2c([nH]1)cccc2,Nc1nc2ccccc2[nH]1
2xii,O[C@@H]1[C@@H](CNC(=O)c2cccc3c2C(=O)c2c3cccc2)[NH2+][C@H]([C@H]([C@H]1O)O)C,C[C@@H]1[NH2+][C@H](CNC(=O)c2cccc3c2C(=O)c2ccccc2-3)[C@@H](O)[C@H](O)[C@@H]1O
2jds,Cc1n[nH]c2c1cc(cc2)c1cncc(c1)OC[C@H](Cc1c[nH]c2c1cccc2)[NH3+],Cc1n[nH]c2ccc(-c3cncc(OC[C@@H]([NH3+])Cc4c[nH]c5ccccc45)c3)cc12
4k55,OC[C@@H](CCOP(OP(O)(O)O)(O)O)C,C[C@@H](CO)CCO[PH](O)(O)O[PH](O)(O)O
1f3e,Nc1cc(N)c2c(c1)c(=O)[nH][nH]c2=O,Nc1cc(N)c2c(=O)[nH][nH]c(=O)c2c1
4b6r,COc1ccc(cc1)C[C@@H]1C(=O)[C@@H](O)[C@@H](C[C@]1(O)C(=O)O)O,COc1ccc(C[C@@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)O)cc1
2vb8,C=C/C(=C/[C@@]1(C)SC(=O)C(=C1O)C)/C,C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O
1ew8,OC(=O)CP(O)(O)O,O=C(O)C[PH](O)(O)O
2uxi,Oc1ccc(cc1)CCC(=O)c1c(O)cc(cc1O)O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
1ony,CCCCCNC(=O)[C@@H](NS(=O)(=O)C)Cc1ccc(c(c1)CCC(=O)N)N(c1ccccc1C(=O)O)C(=O)C(=O)O,CCCCCNC(=O)[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(CCC(N)=O)c1)NS(C)(=O)=O
4lj5,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
5fsx,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
3u3u,CCCCCC=C/CC=C/C=C/C=CC[C@H](CCCC(=O)O)O,CCCCCC=CCC=C/C=C/C=CC[C@@H](O)CCCC(=O)O
5e2l,[NH3+][C@@H](C(=O)O)Cc1ccccc1,[NH3+][C@H](Cc1ccccc1)C(=O)O
4e1k,COc1cc2c(ncnc2cc1O)Nc1ccc(cc1)NC(=O)c1ccccc1,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1O
5lz7,N#Cc1cc(OCCN2C[C@@](CC2=O)(C)c2ccccc2)ccc1F,C[C@]1(c2ccccc2)CC(=O)N(CCOc2ccc(F)c(C#N)c2)C1
1c5x,Ic1cccc2c1cc(s2)C(=[NH2+])N,NC(=[NH2+])c1cc2c(I)cccc2s1
5ime,CNc1ncc2c(n1)n(CCC[NH3+])c(=O)c(c2)c1ccc(cc1Cl)n1ccnc(c1=O)C,CNc1ncc2cc(-c3ccc(-n4ccnc(C)c4=O)cc3Cl)c(=O)n(CCC[NH3+])c2n1
6chp,N#CC[C@H](c1cccc(c1)CC1CCN(CC1)C(=O)OC)Nc1[nH]c2c(n1)nc(cc2)C,COC(=O)N1CCC(Cc2cccc([C@@H](CC#N)Nc3nc4nc(C)ccc4[nH]3)c2)CC1
3ccw,O[C@@H](C[C@H](CC(=O)O)O)CCn1c(nc(c1C(C)C)C(=O)NCc1ccccc1)c1ccc(cc1)F,CC(C)c1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
6j39,CCCCCC[C@H](CC(=O)O)SCC(=O)O,CCCCCC[C@H](CC(=O)O)SCC(=O)O
1l8b,C[n+]1cn(c2c1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)O,C[n+]1cn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21
5l77,C(CCCCN1[C@H]2[C@@H]1[C@@H]([C@H]([C@@H]([C@H]2C(=O)O)O)O)O)CCCN=[N+]=[N-],[N-]=[N+]=NCCCCCCCCN1[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(=O)O)[C@H]21
3f3c,[NH3+][C@H](C(=O)O)Cc1ccc(cc1)F,[NH3+][C@@H](Cc1ccc(F)cc1)C(=O)O
3kdb,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O
4b32,Oc1ccc2c(c1)cccc2,Oc1ccc2ccccc2c1
6bgc,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
