PDB_code,Source,Dataset
PDB_1rwq,MOAD,TRAIN
PDB_1s17,MOAD,TRAIN
PDB_1s19,Iridium,TRAIN
PDB_1s38,PDBBind,TRAIN
PDB_1s39,PDBBind,TEST
PDB_1s5z,PDBBind,TRAIN
PDB_1s89,PDBBind,TEST
PDB_1sb1,PDBBind,TEST
PDB_1sbg,PDBBind,TRAIN
PDB_1sdt,PDBBind,TRAIN
PDB_1sdu,PDBBind,TRAIN
PDB_1sdv,PDBBind,TRAIN
PDB_1sgu,PDBBind,TRAIN
PDB_1siv,PDBBind,TRAIN
PDB_1sl3,PDBBind,TRAIN
PDB_1sln,PDBBind,TRAIN
PDB_1so2,MOAD,TEST
PDB_1sqa,PDBBind,TRAIN
PDB_1sqi,MOAD,VAL
PDB_1sqo,PDBBind,TRAIN
PDB_1sqt,PDBBind,TRAIN
PDB_1sr7,PDBBind,TRAIN
PDB_1srg,PDBBind,TRAIN
PDB_1sv3,PDBBind,TRAIN
PDB_1sw1,MOAD,VAL
PDB_1sw2,PDBBind,TRAIN
PDB_1swg,PDBBind,VAL
PDB_1swr,PDBBind,VAL
PDB_1syh,PDBBind,TEST
PDB_1syi,PDBBind,TRAIN
PDB_1syn,MOAD,TEST
PDB_1szd,PDBBind,TRAIN
PDB_1t26,MOAD,TRAIN
PDB_1t31,PDBBind,TRAIN
PDB_1t32,PDBBind,TRAIN
PDB_1t4v,PDBBind,TRAIN
PDB_1t5f,PDBBind,TRAIN
PDB_1t7j,PDBBind,TRAIN
PDB_1ta6,PDBBind,TRAIN
PDB_1tcx,PDBBind,TRAIN
PDB_1td7,PDBBind,TRAIN
PDB_1tf9,MOAD,TRAIN
PDB_1tfz,MOAD,VAL
PDB_1thz,PDBBind,TRAIN
PDB_1tjp,PDBBind,TRAIN
PDB_1tlc,MOAD,TRAIN
PDB_1tlg,MOAD,TRAIN
PDB_1tlp,PDBBind,TRAIN
PDB_1tmn,PDBBind,TEST
PDB_1tng,PDBBind,TRAIN
PDB_1tnh,PDBBind,TRAIN
PDB_1tni,PDBBind,TRAIN
PDB_1toi,MOAD,TRAIN
PDB_1tom,PDBBind,TRAIN
PDB_1tow,Iridium,TRAIN
PDB_1tox,MOAD,TEST
PDB_1tpw,PDBBind,TRAIN
PDB_1tq4,PDBBind,TRAIN
PDB_1trd,PDBBind,TRAIN
PDB_1tsd,MOAD,TRAIN
PDB_1tsy,PDBBind,TRAIN
PDB_1tt1,Iridium,TRAIN
PDB_1ttm,PDBBind,TRAIN
PDB_1tuf,MOAD,TRAIN
PDB_1tx7,PDBBind,TRAIN
PDB_1txr,PDBBind,TEST
PDB_1u0g,PDBBind,TRAIN
PDB_1u1f,MOAD,TRAIN
PDB_1u1w,PDBBind,TEST
PDB_1u33,PDBBind,TRAIN
PDB_1u3d,MOAD,TRAIN
PDB_1u3r,MOAD,TRAIN
PDB_1u3u,MOAD,TRAIN
PDB_1u70,MOAD,TRAIN
PDB_1u71,PDBBind,TRAIN
PDB_1u72,MOAD,VAL
PDB_1u7t,MOAD,TRAIN
PDB_1u9q,MOAD,TRAIN
PDB_1ua4,PDBBind,TRAIN
PDB_1uad,MOAD,TRAIN
PDB_1ucn,PDBBind,TRAIN
PDB_1udb,MOAD,TRAIN
PDB_1ugw,MOAD,TRAIN
PDB_1ugx,PDBBind,TRAIN
PDB_1ui0,PDBBind,TRAIN
PDB_1uj5,PDBBind,VAL
PDB_1uml,Iridium,TEST
PDB_1unh,MOAD,TRAIN
PDB_1uou,Iridium,TRAIN
PDB_1upf,PDBBind,TRAIN
PDB_1ur9,PDBBind,TRAIN
PDB_1usi,PDBBind,TRAIN
PDB_1usk,PDBBind,TRAIN
PDB_1usn,PDBBind,VAL
PDB_1utj,PDBBind,TRAIN
PDB_1utl,PDBBind,TRAIN
PDB_1utm,PDBBind,TRAIN
PDB_1utn,PDBBind,TRAIN
PDB_1uto,PDBBind,TRAIN
PDB_1uuo,MOAD,TRAIN
PDB_1uv6,PDBBind,TRAIN
PDB_1uvt,PDBBind,VAL
PDB_1uw1,MOAD,TRAIN
PDB_1uw6,PDBBind,TRAIN
PDB_1uwf,PDBBind,TEST
PDB_1uwt,PDBBind,TRAIN
PDB_1uwu,PDBBind,VAL
PDB_1uz1,PDBBind,TEST
PDB_1uz4,PDBBind,TRAIN
PDB_1uz8,PDBBind,TRAIN
PDB_1v0k,PDBBind,TRAIN
PDB_1v0l,PDBBind,TRAIN
PDB_1v0o,MOAD,VAL
PDB_1v1j,PDBBind,TRAIN
PDB_1v2j,PDBBind,VAL
PDB_1v2k,PDBBind,TRAIN
PDB_1v2l,PDBBind,TRAIN
PDB_1v2n,PDBBind,TRAIN
PDB_1v2o,PDBBind,TRAIN
PDB_1v2r,PDBBind,TRAIN
PDB_1v2s,PDBBind,TRAIN
PDB_1v2t,PDBBind,TRAIN
PDB_1v2u,PDBBind,TRAIN
PDB_1v2w,PDBBind,TRAIN
PDB_1v48,PDBBind,TRAIN
PDB_1v7a,PDBBind,TRAIN
PDB_1vc9,MOAD,TRAIN
PDB_1vfn,PDBBind,TEST
PDB_1vg0,MOAD,TEST
PDB_1vjy,MOAD,TRAIN
PDB_1vpo,MOAD,TRAIN
PDB_1vso,PDBBind,TRAIN
PDB_1vyf,PDBBind,TRAIN
PDB_1vyg,PDBBind,VAL
PDB_1vyp,MOAD,TRAIN
PDB_1vzq,PDBBind,TRAIN
PDB_1w0o,MOAD,TRAIN
PDB_1w0z,PDBBind,TRAIN
PDB_1w11,PDBBind,TRAIN
PDB_1w13,PDBBind,TRAIN
PDB_1w2g,Iridium,VAL
PDB_1w3j,PDBBind,TRAIN
PDB_1w3k,PDBBind,TRAIN
PDB_1w3l,PDBBind,TRAIN
PDB_1w4o,PDBBind,TRAIN
PDB_1w4p,PDBBind,TEST
PDB_1w4q,PDBBind,TRAIN
PDB_1w62,MOAD,TRAIN
PDB_1w6o,MOAD,TEST
PDB_1w7g,PDBBind,TEST
PDB_1w96,PDBBind,TRAIN
PDB_1w9v,PDBBind,TRAIN
PDB_1wcb,MOAD,TRAIN
PDB_1wcq,PDBBind,TRAIN
PDB_1wei,MOAD,TRAIN
PDB_1wht,PDBBind,TRAIN
PDB_1wm1,PDBBind,TRAIN
PDB_1wn6,PDBBind,TRAIN
PDB_1ws1,PDBBind,TRAIN
PDB_1ws4,PDBBind,TRAIN
PDB_1ws5,MOAD,TRAIN
PDB_1wur,PDBBind,TRAIN
PDB_1wvj,PDBBind,TRAIN
PDB_1x1z,PDBBind,TRAIN
PDB_1x38,PDBBind,TRAIN
PDB_1x39,PDBBind,TRAIN
PDB_1x8d,PDBBind,TRAIN
PDB_1x8j,PDBBind,TRAIN
PDB_1x8r,PDBBind,TRAIN
PDB_1x8t,PDBBind,TRAIN
PDB_1xap,PDBBind,TRAIN
PDB_1xbo,PDBBind,TRAIN
PDB_1xgi,PDBBind,TRAIN
PDB_1xh4,PDBBind,TRAIN
PDB_1xh5,PDBBind,TRAIN
PDB_1xh9,PDBBind,TRAIN
PDB_1xhy,PDBBind,TRAIN
PDB_1xk9,PDBBind,TRAIN
PDB_1xka,PDBBind,TRAIN
PDB_1xkk,PDBBind,TRAIN
PDB_1xli,MOAD,TRAIN
PDB_1xm4,MOAD,TRAIN
PDB_1xmu,MOAD,TRAIN
PDB_1xmy,MOAD,TRAIN
PDB_1xow,PDBBind,TRAIN
PDB_1xpz,PDBBind,TRAIN
PDB_1xq0,PDBBind,VAL
PDB_1xqd,MOAD,TRAIN
PDB_1xt3,MOAD,TRAIN
PDB_1xug,PDBBind,TRAIN
PDB_1xw6,MOAD,TRAIN
PDB_1xws,PDBBind,TRAIN
PDB_1y0l,PDBBind,TRAIN
PDB_1y1z,PDBBind,TRAIN
PDB_1y20,PDBBind,TEST
PDB_1y3n,PDBBind,TRAIN
PDB_1y3v,PDBBind,TRAIN
PDB_1y3x,PDBBind,TRAIN
PDB_1y4z,MOAD,TRAIN
PDB_1y52,MOAD,TRAIN
PDB_1y6q,PDBBind,TRAIN
PDB_1y6r,PDBBind,TRAIN
PDB_1ybh,MOAD,TRAIN
PDB_1yc1,PDBBind,TRAIN
PDB_1yc4,PDBBind,TRAIN
PDB_1yc5,MOAD,TEST
PDB_1yda,PDBBind,TRAIN
PDB_1ydb,PDBBind,TRAIN
PDB_1ydd,PDBBind,TRAIN
PDB_1ydk,PDBBind,TRAIN
PDB_1ydr,Iridium,TEST
PDB_1yds,Iridium,TRAIN
PDB_1ydt,Iridium,TRAIN
PDB_1yei,PDBBind,TRAIN
PDB_1yej,PDBBind,TRAIN
PDB_1yet,PDBBind,TRAIN
PDB_1yfz,PDBBind,TRAIN
PDB_1yid,MOAD,TEST
PDB_1yp9,PDBBind,TRAIN
PDB_1ype,PDBBind,TRAIN
PDB_1ypg,PDBBind,TEST
PDB_1ypj,PDBBind,TRAIN
PDB_1yq7,PDBBind,TRAIN
PDB_1yqj,PDBBind,TRAIN
PDB_1yqy,Iridium,TRAIN
PDB_1yvm,PDBBind,TRAIN
PDB_1yvz,MOAD,TRAIN
PDB_1ywr,Iridium,TEST
PDB_1yye,MOAD,TRAIN
PDB_1z1h,PDBBind,TRAIN
PDB_1z34,MOAD,TRAIN
PDB_1z3v,MOAD,TEST
PDB_1z4o,PDBBind,TRAIN
PDB_1z6e,PDBBind,VAL
PDB_1z6s,PDBBind,TRAIN
PDB_1z71,PDBBind,TRAIN
PDB_1z95,PDBBind,TRAIN
PDB_1z9g,PDBBind,TRAIN
PDB_1z9y,PDBBind,VAL
PDB_1zc9,PDBBind,TRAIN
PDB_1zdp,PDBBind,TRAIN
PDB_1zdq,MOAD,TRAIN
PDB_1zfq,PDBBind,TRAIN
PDB_1zge,PDBBind,TRAIN
PDB_1zgi,PDBBind,TRAIN
PDB_1zhy,PDBBind,TRAIN
PDB_1zoe,PDBBind,TRAIN
PDB_1zog,PDBBind,TRAIN
PDB_1zoh,PDBBind,TRAIN
PDB_1zos,MOAD,TRAIN
PDB_1zp8,PDBBind,TRAIN
PDB_1zs0,PDBBind,TRAIN
PDB_1zvx,PDBBind,TRAIN
PDB_2a06,MOAD,TRAIN
PDB_2a0w,MOAD,TRAIN
PDB_2a14,PDBBind,TRAIN
PDB_2a5b,PDBBind,VAL
PDB_2a5c,PDBBind,TRAIN
PDB_2a8g,PDBBind,TRAIN
PDB_2aac,PDBBind,TRAIN
PDB_2aaw,MOAD,TRAIN
PDB_2abj,MOAD,TRAIN
PDB_2aco,MOAD,TRAIN
PDB_2ada,MOAD,TRAIN
PDB_2ael,MOAD,TEST
PDB_2afw,PDBBind,TRAIN
PDB_2afx,PDBBind,TEST
PDB_2aj8,PDBBind,TRAIN
PDB_2al5,PDBBind,TRAIN
PDB_2am4,PDBBind,TRAIN
PDB_2amt,PDBBind,TRAIN
PDB_2amv,MOAD,TRAIN
PDB_2arm,PDBBind,TRAIN
PDB_2avo,PDBBind,TRAIN
PDB_2avs,PDBBind,TRAIN
PDB_2ax9,PDBBind,VAL
PDB_2ay3,MOAD,TRAIN
PDB_2ayr,PDBBind,TRAIN
PDB_2az5,MOAD,TRAIN
PDB_2azr,PDBBind,TRAIN
PDB_2b07,PDBBind,TRAIN
PDB_2b1g,PDBBind,TRAIN
PDB_2b1i,PDBBind,TRAIN
PDB_2b3b,MOAD,TRAIN
PDB_2b4l,PDBBind,TRAIN
PDB_2b7d,PDBBind,VAL
PDB_2b9a,PDBBind,TRAIN
PDB_2baj,PDBBind,TRAIN
PDB_2bak,PDBBind,TRAIN
PDB_2bal,PDBBind,TRAIN
PDB_2bes,PDBBind,TRAIN
PDB_2bet,PDBBind,TRAIN
PDB_2bfq,PDBBind,TRAIN
PDB_2bfr,PDBBind,TRAIN
PDB_2bl9,MOAD,TRAIN
PDB_2bmk,PDBBind,TRAIN
PDB_2bo4,PDBBind,TRAIN
PDB_2boh,PDBBind,TRAIN
PDB_2boj,PDBBind,TRAIN
PDB_2bok,PDBBind,TRAIN
PDB_2bpm,MOAD,TRAIN
PDB_2bpv,PDBBind,VAL
PDB_2bq7,PDBBind,TRAIN
PDB_2bqv,PDBBind,TRAIN
PDB_2br6,MOAD,VAL
PDB_2brb,PDBBind,TRAIN
PDB_2brm,PDBBind,TRAIN
PDB_2bs5,MOAD,TRAIN
PDB_2bt9,PDBBind,TRAIN
PDB_2buc,MOAD,TRAIN
PDB_2buv,PDBBind,TRAIN
PDB_2bvd,PDBBind,TRAIN
PDB_2bvr,PDBBind,TRAIN
PDB_2bvs,PDBBind,TRAIN
PDB_2bw7,MOAD,TRAIN
PDB_2byr,PDBBind,TRAIN
PDB_2bys,PDBBind,TRAIN
PDB_2bz6,PDBBind,TEST
PDB_2bza,PDBBind,TRAIN
PDB_2c1p,PDBBind,TRAIN
PDB_2c1q,MOAD,TEST
PDB_2c3i,PDBBind,TRAIN
PDB_2c3l,PDBBind,TRAIN
PDB_2c80,PDBBind,VAL
PDB_2c92,PDBBind,TRAIN
PDB_2c94,PDBBind,TRAIN
PDB_2c97,PDBBind,TRAIN
PDB_2ca8,PDBBind,TRAIN
PDB_2cbj,PDBBind,TRAIN
PDB_2cbu,PDBBind,TRAIN
PDB_2cbv,PDBBind,TRAIN
PDB_2cc6,MOAD,TRAIN
PDB_2cc7,PDBBind,TRAIN
PDB_2ccb,PDBBind,VAL
PDB_2ccc,PDBBind,TRAIN
PDB_2cej,PDBBind,VAL
PDB_2ceq,PDBBind,TRAIN
PDB_2cer,PDBBind,TEST
PDB_2ces,PDBBind,TRAIN
PDB_2cet,PDBBind,TRAIN
PDB_2cex,PDBBind,TRAIN
PDB_2cf8,PDBBind,TRAIN
PDB_2cf9,PDBBind,TRAIN
PDB_2cgf,PDBBind,TRAIN
PDB_2cgr,PDBBind,TRAIN
PDB_2cht,PDBBind,TEST
PDB_2cir,MOAD,TRAIN
PDB_2cjp,MOAD,TRAIN
PDB_2ckm,MOAD,TRAIN
PDB_2cle,PDBBind,TRAIN
PDB_2clh,PDBBind,TRAIN
PDB_2cli,PDBBind,TRAIN
PDB_2clk,PDBBind,TRAIN
PDB_2cn0,PDBBind,TRAIN
PDB_2csn,PDBBind,TEST
PDB_2ctc,Iridium,TRAIN
PDB_2d0k,PDBBind,TRAIN
PDB_2d1n,PDBBind,TRAIN
PDB_2d1o,PDBBind,TRAIN
PDB_2d3u,PDBBind,TRAIN
PDB_2d3z,PDBBind,TRAIN
PDB_2dkn,MOAD,VAL
PDB_2doo,PDBBind,TRAIN
PDB_2drc,PDBBind,TRAIN
PDB_2dri,PDBBind,TRAIN
PDB_2dua,MOAD,TRAIN
PDB_2dw7,PDBBind,TRAIN
PDB_2e1w,PDBBind,TRAIN
PDB_2e22,MOAD,VAL
PDB_2e27,PDBBind,TRAIN
PDB_2e2p,PDBBind,TEST
PDB_2e2r,PDBBind,TRAIN
PDB_2e5y,MOAD,TRAIN
PDB_2e7f,PDBBind,TRAIN
PDB_2e91,PDBBind,TRAIN
PDB_2e92,PDBBind,TRAIN
PDB_2e94,PDBBind,TRAIN
PDB_2e9u,PDBBind,TRAIN
PDB_2eg7,MOAD,TRAIN
PDB_2epn,PDBBind,TRAIN
PDB_2erz,PDBBind,TEST
PDB_2ew5,MOAD,TRAIN
PDB_2ewa,PDBBind,TRAIN
PDB_2ewb,PDBBind,TEST
PDB_2ews,PDBBind,TRAIN
PDB_2exm,PDBBind,TRAIN
PDB_2ez7,PDBBind,TRAIN
PDB_2f1g,PDBBind,VAL
PDB_2f2h,PDBBind,TRAIN
PDB_2f34,PDBBind,TEST
PDB_2f35,PDBBind,TRAIN
PDB_2f6t,PDBBind,TEST
PDB_2f7i,PDBBind,TRAIN
PDB_2f7o,PDBBind,TRAIN
PDB_2f7p,PDBBind,TRAIN
PDB_2f80,PDBBind,VAL
PDB_2f81,PDBBind,TRAIN
PDB_2f8g,PDBBind,TRAIN
PDB_2f94,PDBBind,TRAIN
PDB_2f9k,PDBBind,TRAIN
PDB_2fdp,PDBBind,TRAIN
PDB_2fdw,MOAD,VAL
PDB_2flr,PDBBind,TRAIN
PDB_2foi,MOAD,TRAIN
PDB_2fpz,PDBBind,TRAIN
PDB_2fqo,PDBBind,TRAIN
PDB_2fqt,PDBBind,VAL
PDB_2fqw,PDBBind,TRAIN
PDB_2fqx,PDBBind,TEST
PDB_2fqy,PDBBind,TRAIN
PDB_2fu8,PDBBind,TRAIN
PDB_2fv5,MOAD,TRAIN
PDB_2fvd,PDBBind,TRAIN
PDB_2fw6,PDBBind,TRAIN
PDB_2fwp,MOAD,TRAIN
PDB_2fx6,PDBBind,TRAIN
PDB_2fxs,PDBBind,TRAIN
PDB_2fxv,PDBBind,TRAIN
PDB_2fzc,PDBBind,TRAIN
PDB_2fzg,PDBBind,VAL
PDB_2fzh,MOAD,TEST
PDB_2fzk,PDBBind,TRAIN
PDB_2g5u,PDBBind,TRAIN
PDB_2g86,MOAD,TRAIN
PDB_2gbp,MOAD,TRAIN
PDB_2gc0,MOAD,TRAIN
PDB_2ggx,MOAD,VAL
PDB_2gh9,PDBBind,TRAIN
PDB_2gj5,PDBBind,TRAIN
PDB_2gkl,PDBBind,TRAIN
PDB_2gl0,PDBBind,TRAIN
PDB_2glp,PDBBind,TRAIN
PDB_2gmv,MOAD,TRAIN
PDB_2gsr,MOAD,TEST
PDB_2gss,PDBBind,TRAIN
PDB_2gst,PDBBind,TRAIN
PDB_2gsu,PDBBind,TRAIN
PDB_2gv6,PDBBind,TRAIN
PDB_2gv7,PDBBind,TRAIN
PDB_2gvj,PDBBind,TRAIN
PDB_2gvv,PDBBind,TRAIN
PDB_2gyi,PDBBind,TRAIN
PDB_2gz2,PDBBind,TRAIN
PDB_2h12,MOAD,TRAIN
PDB_2h15,PDBBind,TEST
PDB_2h3e,PDBBind,TRAIN
PDB_2h4g,PDBBind,TEST
PDB_2h4k,PDBBind,TRAIN
PDB_2h4n,PDBBind,TRAIN
PDB_2h6b,PDBBind,TRAIN
PDB_2ha2,PDBBind,TRAIN
PDB_2ha3,PDBBind,TRAIN
PDB_2ha6,PDBBind,TRAIN
PDB_2hah,PDBBind,TRAIN
PDB_2haw,PDBBind,TRAIN
PDB_2hb1,PDBBind,TEST
PDB_2hb3,PDBBind,TRAIN
PDB_2hf9,MOAD,TRAIN
PDB_2hhn,PDBBind,TRAIN
PDB_2hi4,MOAD,TRAIN
PDB_2hj4,MOAD,TRAIN
PDB_2hjb,PDBBind,TRAIN
PDB_2hk5,MOAD,TRAIN
PDB_2hl4,PDBBind,VAL
PDB_2hmv,PDBBind,VAL
PDB_2hnc,PDBBind,VAL
PDB_2hnx,PDBBind,TRAIN
PDB_2hoc,PDBBind,TRAIN
PDB_2hs1,PDBBind,TRAIN
PDB_2hu6,PDBBind,TRAIN
PDB_2hxm,PDBBind,VAL
PDB_2hy0,MOAD,TRAIN
PDB_2hyq,MOAD,TRAIN
PDB_2hzl,PDBBind,TRAIN
PDB_2hzq,MOAD,TRAIN
PDB_2hzy,PDBBind,TRAIN
PDB_2i0a,PDBBind,TEST
PDB_2i0g,MOAD,TRAIN
PDB_2i19,PDBBind,TRAIN
PDB_2i2c,PDBBind,TRAIN
PDB_2i3i,PDBBind,TEST
PDB_2i4j,PDBBind,TRAIN
PDB_2i4u,PDBBind,TEST
PDB_2i4v,PDBBind,TRAIN
PDB_2i4z,PDBBind,VAL
PDB_2i6a,MOAD,TRAIN
PDB_2i6b,PDBBind,TRAIN
PDB_2i80,PDBBind,TRAIN
PDB_2idw,PDBBind,TRAIN
PDB_2ifb,MOAD,VAL
PDB_2ihj,PDBBind,TEST
PDB_2ihk,MOAD,TRAIN
PDB_2ihq,PDBBind,TRAIN
PDB_2iko,PDBBind,TRAIN
PDB_2ilz,MOAD,TRAIN
PDB_2isj,MOAD,TRAIN
PDB_2isw,PDBBind,TEST
PDB_2itm,MOAD,TEST
PDB_2iuz,PDBBind,VAL
PDB_2iwx,PDBBind,TRAIN
PDB_2ixh,MOAD,TRAIN
PDB_2izl,PDBBind,TRAIN
PDB_2j27,PDBBind,TRAIN
PDB_2j2u,PDBBind,TEST
PDB_2j34,PDBBind,TRAIN
PDB_2j47,PDBBind,TRAIN
PDB_2j4g,PDBBind,TRAIN
PDB_2j4i,PDBBind,VAL
PDB_2j4k,MOAD,TRAIN
PDB_2j62,PDBBind,TRAIN
PDB_2j75,PDBBind,TRAIN
PDB_2j77,PDBBind,TRAIN
PDB_2j78,PDBBind,TRAIN
PDB_2j79,PDBBind,TEST
PDB_2j7b,PDBBind,TRAIN
PDB_2j7d,PDBBind,TRAIN
PDB_2j7e,PDBBind,TRAIN
PDB_2j7f,PDBBind,VAL
PDB_2j7g,PDBBind,TRAIN
PDB_2j7h,PDBBind,TRAIN
PDB_2j94,PDBBind,TEST
PDB_2j95,PDBBind,TRAIN
PDB_2j9l,MOAD,TRAIN
PDB_2jdm,PDBBind,TRAIN
PDB_2jdp,PDBBind,TRAIN
PDB_2jds,PDBBind,TRAIN
PDB_2jdu,PDBBind,TRAIN
PDB_2jew,PDBBind,VAL
PDB_2jf4,PDBBind,TRAIN
PDB_2jfz,PDBBind,TRAIN
PDB_2jg0,PDBBind,TRAIN
PDB_2jgb,MOAD,TRAIN
PDB_2jgs,PDBBind,TRAIN
PDB_2jh0,PDBBind,TRAIN
PDB_2jh5,PDBBind,TEST
PDB_2jh6,PDBBind,TRAIN
PDB_2jig,MOAD,TRAIN
PDB_2jiw,PDBBind,TRAIN
PDB_2jjb,PDBBind,TRAIN
PDB_2jke,PDBBind,TEST
PDB_2jkh,PDBBind,TRAIN
PDB_2jkp,PDBBind,TRAIN
PDB_2jxr,PDBBind,TRAIN
PDB_2kce,MOAD,TRAIN
PDB_2mas,PDBBind,TRAIN
PDB_2nad,MOAD,TRAIN
PDB_2nmx,PDBBind,TEST
PDB_2nmz,PDBBind,TRAIN
PDB_2nn1,PDBBind,TRAIN
PDB_2nn7,PDBBind,TRAIN
PDB_2nnd,PDBBind,TRAIN
PDB_2nnj,MOAD,TRAIN
PDB_2nnq,MOAD,TRAIN
PDB_2nsj,PDBBind,TRAIN
PDB_2nsl,PDBBind,TRAIN
PDB_2nsx,MOAD,TRAIN
PDB_2nt7,PDBBind,TEST
PDB_2nta,PDBBind,TEST
PDB_2nx1,MOAD,TRAIN
PDB_2o0u,PDBBind,TRAIN
PDB_2o1c,MOAD,TRAIN
PDB_2o1o,MOAD,TRAIN
PDB_2o1v,MOAD,TRAIN
PDB_2o4j,PDBBind,TRAIN
PDB_2o4l,PDBBind,TEST
PDB_2o4n,PDBBind,TRAIN
PDB_2o4r,PDBBind,TRAIN
PDB_2o4z,PDBBind,TRAIN
PDB_2o5z,MOAD,TRAIN
PDB_2o8h,PDBBind,TRAIN
PDB_2oag,PDBBind,TRAIN
PDB_2oax,PDBBind,VAL
PDB_2oc2,PDBBind,TRAIN
PDB_2ofv,MOAD,TRAIN
PDB_2ogy,PDBBind,TRAIN
PDB_2ohv,MOAD,TEST
PDB_2oi0,PDBBind,TRAIN
PDB_2oi2,PDBBind,TRAIN
PDB_2oiq,PDBBind,TRAIN
PDB_2ojg,PDBBind,TRAIN
PDB_2ojj,PDBBind,TRAIN
PDB_2ole,PDBBind,TRAIN
PDB_2on6,PDBBind,TRAIN
PDB_2oo0,MOAD,TRAIN
PDB_2oo8,MOAD,TRAIN
PDB_2oor,MOAD,TEST
PDB_2oro,MOAD,TRAIN
PDB_2ot1,PDBBind,TRAIN
PDB_2ovv,PDBBind,TEST
PDB_2ovy,PDBBind,VAL
PDB_2oxd,PDBBind,TRAIN
PDB_2oxn,PDBBind,TRAIN
PDB_2oxx,PDBBind,TRAIN
PDB_2oxy,PDBBind,TRAIN
PDB_2oyl,MOAD,TRAIN
PDB_2oym,PDBBind,TEST
PDB_2ozl,MOAD,TRAIN
PDB_2p15,PDBBind,TRAIN
PDB_2p16,PDBBind,TEST
PDB_2p1c,MOAD,TRAIN
PDB_2p2a,PDBBind,TRAIN
PDB_2p3i,PDBBind,VAL
PDB_2p3t,MOAD,TRAIN
PDB_2p4s,PDBBind,TRAIN
PDB_2p4y,PDBBind,VAL
PDB_2p53,PDBBind,TRAIN
PDB_2p7a,PDBBind,TRAIN
PDB_2p7g,PDBBind,TRAIN
PDB_2p7z,PDBBind,TRAIN
PDB_2p95,PDBBind,TRAIN
PDB_2pbw,PDBBind,TRAIN
PDB_2pcp,Iridium,TRAIN
PDB_2pel,MOAD,TRAIN
PDB_2pfy,MOAD,TEST
PDB_2pgj,MOAD,TRAIN
PDB_2pgz,PDBBind,TRAIN
PDB_2pjl,MOAD,TEST
PDB_2pog,PDBBind,TRAIN
PDB_2pou,PDBBind,TRAIN
PDB_2pov,PDBBind,TEST
PDB_2pow,PDBBind,TRAIN
PDB_2pq9,PDBBind,TRAIN
PDB_2pqb,PDBBind,TRAIN
PDB_2pqc,PDBBind,TRAIN
PDB_2pql,PDBBind,TRAIN
PDB_2pqz,PDBBind,VAL
PDB_2psj,MOAD,TRAIN
PDB_2psu,PDBBind,TRAIN
PDB_2psv,PDBBind,TRAIN
PDB_2ptz,PDBBind,TRAIN
PDB_2pu1,PDBBind,TRAIN
PDB_2pu2,PDBBind,VAL
PDB_2pvh,PDBBind,VAL
PDB_2pvj,PDBBind,TRAIN
PDB_2pvk,PDBBind,TRAIN
PDB_2pvl,PDBBind,TRAIN
PDB_2pvm,PDBBind,TEST
PDB_2pwc,PDBBind,TRAIN
PDB_2pwd,PDBBind,TRAIN
PDB_2pwg,PDBBind,TRAIN
PDB_2pwr,PDBBind,TRAIN
PDB_2py4,PDBBind,VAL
PDB_2pym,PDBBind,TRAIN
PDB_2pyn,PDBBind,TRAIN
PDB_2pzi,MOAD,TRAIN
PDB_2q1q,PDBBind,TRAIN
PDB_2q2y,MOAD,TRAIN
PDB_2q38,PDBBind,TRAIN
PDB_2q54,PDBBind,TRAIN
PDB_2q55,PDBBind,TEST
PDB_2q5k,PDBBind,TRAIN
PDB_2q63,PDBBind,TEST
PDB_2q64,PDBBind,TRAIN
PDB_2q7q,PDBBind,TRAIN
PDB_2q88,PDBBind,TRAIN
PDB_2q89,PDBBind,TRAIN
PDB_2q8g,MOAD,TRAIN
PDB_2q8h,PDBBind,TRAIN
PDB_2q8m,PDBBind,VAL
PDB_2q8z,PDBBind,TRAIN
PDB_2qbp,PDBBind,TRAIN
PDB_2qbq,PDBBind,TRAIN
PDB_2qbr,PDBBind,VAL
PDB_2qbs,PDBBind,VAL
PDB_2qbu,PDBBind,TRAIN
PDB_2qci,PDBBind,TRAIN
PDB_2qd6,PDBBind,TRAIN
PDB_2qd7,PDBBind,TEST
PDB_2qd8,PDBBind,TRAIN
PDB_2qdt,PDBBind,TRAIN
PDB_2qe4,PDBBind,TRAIN
PDB_2qeh,MOAD,TRAIN
PDB_2qg0,PDBBind,TRAIN
PDB_2qg2,PDBBind,TEST
PDB_2qhy,PDBBind,TRAIN
PDB_2qhz,PDBBind,VAL
PDB_2qi0,PDBBind,TRAIN
PDB_2qi1,PDBBind,TRAIN
PDB_2qi3,PDBBind,TEST
PDB_2qi4,PDBBind,TRAIN
PDB_2qi5,PDBBind,TRAIN
PDB_2qi6,PDBBind,TRAIN
PDB_2qi7,PDBBind,TRAIN
PDB_2qjy,MOAD,TRAIN
PDB_2ql9,MOAD,TRAIN
PDB_2qm9,PDBBind,TRAIN
PDB_2qmg,PDBBind,TRAIN
PDB_2qnq,PDBBind,TRAIN
PDB_2qpq,PDBBind,TRAIN
PDB_2qpu,PDBBind,TRAIN
PDB_2qrk,PDBBind,TRAIN
PDB_2qrl,PDBBind,TRAIN
PDB_2qry,MOAD,TRAIN
PDB_2qtg,PDBBind,TRAIN
PDB_2qtn,PDBBind,TRAIN
PDB_2qtt,PDBBind,TRAIN
